id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
225,排球少年！！垃圾场决战 劇場版ハイキュー!! ゴミ捨て場の決戦,https://movie.douban.com/subject/36060209/,8.3,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2909378407.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200kqecmvk.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F365727%2F11586098.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss37663%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",故事讲述了风靡十年的超人气热血IP《排球少年!!》中人气最高、最精彩绝伦的垃圾场决战。日向翔阳因为心怀成为“排球小巨人”的梦想加入了乌野高中排球部，逐渐成为独当一面的副攻手。春季高中排球比赛上，乌野高中排球部终于迎来了与音驹高中排球部的正式比赛。同为“没落的豪强”，两支队伍惺惺相惜，却从未站上过同一场正式较量的舞台。长久的纠葛终于迎来了结，一场“只有一次”的命运对决即将开幕！振翅一击吧，心怀梦想的少年们！,日本,日语,,,['满仲劝'],['满仲劝'],"['村濑步', '石川界人', '日野聪', '入野自由', '细谷佳正', '林勇', '内山昂辉', '齐藤壮马', '冈本信彦', '神谷浩史', '名冢佳织', '江川央生', '诸星堇', '梶裕贵', '中村悠一', '立花慎之介', '石井马克', '横田成吾', '星野贵纪', '池田恭祐', '长南翔太', '中博史', '福田信昭', '木村昴', '土屋神叶', '渡边拓海', '木村良平', '逢坂良太', '山本兼平']",,排球少年：垃圾场决战 / 剧场版排球少年 垃圾场决战 / 排球少年!! FINAL 第一部 / 排球少年 剧场版第一部 / 剧场版 排球少年 最终章(上) / ハイキュー!! FINAL 第一部 / Haikyu!! The Movie: Decisive Battle at the Garbage Dump / Haikyuu!! The Dumpster Battle,"['动画', '运动']"
226,大侦探皮卡丘 Pokémon Detective Pikachu,https://movie.douban.com/subject/26835471/,6.4,2019,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2909216683.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F2acva9s87eg7m8g.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.tv.sohu.com%2Fa%2Fa9524068.shtml%3Fchanneled%3D200101&amp;subtype=2&amp;type=online-video']",好莱坞真人电影《大侦探皮卡丘》（暂译）讲述了蒂姆·古德曼（贾 斯 提·史密斯饰） 为寻找下落不明的父亲来到莱姆市，意外与父亲的前宝可梦搭档大侦探皮卡丘相遇，并惊讶地发现自己是唯一能听懂皮卡丘说话的人类，他们决定组队踏上揭开真相的刺激冒险之路。探案过程中他们邂逅了各式各样 的宝可梦，并意外发现了一个足以毁灭整个宝可梦宇宙的惊天阴谋。该电影改编自任天堂3DS同名游戏，由罗伯·莱特曼导演，瑞安·雷诺兹为大侦探皮卡丘配音，贾斯提斯·史密斯、凯瑟琳·纽顿等主演。,美国 / 日本 / 英国 / 加拿大,英语,,,['罗伯·莱特曼'],"['丹·埃尔南德斯', '罗伯·莱特曼', '德里克·康纳利', '尼科尔·帕尔曼', '田尻智', '增田顺一', '杉森建']","['瑞安·雷诺兹', '贾斯蒂斯·史密斯', '凯瑟琳·纽顿', '克里斯·吉尔', '比尔·奈伊', '渡边谦', '瑞塔·奥拉', '苏琪·沃特豪斯', '卡兰·索尼', '普莉安卡·伯福德', '乔丹·朗', '贝恩·科拉科', '卡迪夫·克尔万', '奥马尔·查帕罗', '伯纳多·桑托斯', '大谷育江', '露丝·霍洛克斯', '丹尼尔·厄根', '贾格·帕特尔', '查利·蕾娅·埃斯奎尔', '黛博拉·洛克', '所罗门·塔伊沃·贾斯提费尔德', '尼克·欧文福特', '凯文·马塔迪恩', '迪柏洛', '竹内凉真']",,精灵宝可梦：大侦探皮卡丘 / POKÉMON 名侦探皮卡丘(台) / 宠物小精灵之名侦探皮卡丘 / 精灵宝可梦之名侦探皮卡丘 / 宠物小精灵 / 宠物小精灵真人版 / 精灵宝可梦 / 名侦探皮卡丘 / Detective Pikachu / Pokemon,"['喜剧', '动画', '奇幻', '冒险']"
227,百变狸猫 平成狸合戦ぽんぽこ,https://movie.douban.com/subject/1303907/,8.6,1994,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2903194898.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F2acva9s87eg7m8g.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.tv.sohu.com%2Fa%2Fa9524068.shtml%3Fchanneled%3D200101&amp;subtype=2&amp;type=online-video']",随着人类文明的发展，城市的规模越来越大，与之相对，青山绿水则迅速减少。东京都提出“多摩新市”的概念，大肆向周边的原始森林扩张。祖辈生长在多摩丘陵的狸猫家族受到巨大冲击，随着树木花草的急剧减少，可供它们生存的食物也开始短缺。最终，鹰之森和玲之森的狸猫发生内战，战况激烈。在火玉婆婆的点拨下，两派狸猫握手言和，转而将主要目标对准破坏森林的人类。为了更好地了解对手，火玉婆婆和龟鹤和尚教授族人已被遗忘很久的变化之术。经过一段时间的艰苦修行，狸猫们终于学会了自由变化。在激进派代表权太的领导下，一部分狸猫向建筑工人发起恐怖袭击，造成多人伤亡。它们的行动虽然取得成效，然而却无法阻挡利益熏心的人类的脚步。森林被一点点蚕食，狸猫家族的命运危在旦夕……,日本,日语,,,['高畑勋'],['高畑勋'],"['古今亭朝太時代', '三木纪平', '清川虹子', '野野村真', '石田百合子', '泉谷茂', '芦屋雁之助', '村田雄浩']",,平成狸合战 / 狸猫物语 / The Raccoon War / Pom Poko,"['剧情', '喜剧', '动画', '奇幻']"
228,蜡笔小新：新次元！超能力大决战 しん次元！クレヨンしんちゃんTHE MOVIE 超能力大決戦 ～とべとべ手巻き寿司～,https://movie.douban.com/subject/36188869/,7.5,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2899530660.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc002000n7l8fn.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F639395%2F20767885.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss46352%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']","这是《蜡笔小新》电影史上第一部3D CG动画，将于夏季上映!标题是《蜡笔小新：新次元！超能力大决战～飞吧飞吧手卷寿司～》。担任“新次元”3d CG动画的是曾制作过《新哥斯拉》和《哆啦A梦：伴我同行》的CG专业团队白组。此外，担任导演兼编剧的竟然是《桃花期》(2011年) 、《食梦者》。(2015)的大根仁!总之，还请对""新次元""充满期待！",日本,日语,,,['大根仁'],"['臼井仪人', '大根仁']","['小林由美子', '楢桥美纪', '森川智之', '兴梠里美', '真柴摩利', '林玉绪', '一龙斋贞友', '水川かたまり', '鬼头明里', '松坂桃李', '三石琴乃', '森田顺平', '七绪春日', '佐藤智惠', '铃木もぐら', '富泽美智惠']",,新次元！蜡笔小新THE MOVIE 超能力大决战 ～飞翔吧手卷寿司～ / 新次元！蜡笔小新 THE MOVIE / 新次元！蜡笔小新THE MOVIE 超能力大决战～飞吧！手卷寿司(港),"['喜剧', '动画']"
229,辉夜姬物语 かぐや姫の物語,https://movie.douban.com/subject/4099231/,8.5,2013,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2155612579.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc002000n7l8fn.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F639395%2F20767885.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss46352%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",住在深山老林里的老爷爷（地井武男 配音）一早进山砍竹子，结果竟在附近的一根发光的竹笋中发现了只有掌心大小的娃娃。没有子女的老爷爷兴奋不已，他双手捧着娃娃回到家中，而小家伙竟然在老奶奶（宫本信子 配音）的手中越变越大。之后的岁月里，舐犊情深的爷爷小心呵护他的公主（朝仓亚纪 配音），小女孩则以惊人的速度生长，她与村里的孩子们周游乡间，结识了诚实可靠的舍丸哥哥（高良健吾 饰），而一首莫名的歌曲却令她潸然泪下。老爷爷在山里先后发现金子和美丽布匹，他决心让公主过上贵族的生活，于是举家搬到了京城的豪宅中。公主超凡脱俗，貌美绝伦，从此“辉耀姬”的名字在京城贵族间广为传颂。然而美丽女孩的笑容渐渐退去，这似乎并不是她所向往的生活……本片根据日本民间传说《竹取物语》的故事改编。,日本,日语,,,['高畑勋'],"['高畑勋', '坂口理子']","['朝仓亚纪', '高良健吾', '地井武男', '宫本信子', '高畑淳子', '田畑智子', '立川志の輔', '上川隆也', '伊集院光', '宇崎龙童', '中村七之助', '桥爪功', '朝丘雪路', '仲代达矢']",,辉耀姬物语(港/台) / 辉夜姬的故事 / The Tale of the Bamboo Cutter / The Tale of Princess Kaguya,"['动画', '奇幻', '古装']"
230,名侦探柯南 名探偵コナン,https://movie.douban.com/subject/1463371/,9.2,1996,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2257391444.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F53q0eh78q97e4d1%2Fx00174aq5no.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzk1NjM1MjAw.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep323085%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",工藤新一是全国著名的高中生侦探，在一次追查黑衣人犯罪团伙时不幸被团伙成员发现，击晕后喂了神奇的药水，工藤新一变回了小孩！新一找到了经常帮助他的阿笠博士，博士为他度身打造不少间谍武器。为了防止犯罪团伙对他进行报复，新一决定隐姓埋名，暗中追查他们，希望能得到解药。一日，新一 的女友毛利兰来到了阿笠博士的家寻找男友的下落，被小兰撞见的新一情急之下编造了自己名叫江户川柯南，随后柯南寄居在了小兰家。小兰的父亲毛利小五郎是一名私家侦探，新一可以籍着和他一起四出办案一起追查黑夜人的下落。柯南在小学认识步美等小学生，他们一起组织了一个少年侦探团，向罪犯宣战！,日本,日语 / 英语 / 德语 / 西班牙语 / 意大利语 / 法语 / 阿拉伯语 / 塔加路语 / 汉语普通话,25分钟,,"['儿玉兼嗣', '山本泰一郎', '佐藤真人', '于地纮仁']","['青山刚昌', '古内一成', '柏原宽司', '宫下隼一']","['高山南', '山崎和佳奈', '神谷明', '小山力也', '林原惠美', '山口胜平', '田中秀幸', '岛本须美', '绪方贤一', '堀川亮', '松井菜樱子', '宫村优子', '岩居由希子', '大谷育江', '高木涉', '高岛雅罗', '堀之纪', '立木文彦', '小山茉美', '三石琴乃', '置鲇龙太郎', '日高范子', '池田秀一', '古谷彻']",,Detective Conan / Meitantei Conan / Case Closed,"['动作', '动画', '悬疑', '惊悚', '犯罪']"
231,虞美人盛开的山坡 コクリコ坂から,https://movie.douban.com/subject/5262338/,8.1,2011,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1335271624.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F53q0eh78q97e4d1%2Fx00174aq5no.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMzk1NjM1MjAw.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep323085%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",20世纪60年代初，从二战的沉重打击中复苏的日本，正以极快的速度在世人的注视下重新确立自己的地位。位于横滨某个海港小镇，松崎家四姐弟和住客过着平凡的生活。16岁的姐姐海（长泽雅美 配音）照顾所有人的衣食起居，清晨则例行升起祈愿平安航行的信号旗。偶然的机会，海结识了同校新闻部的男孩风间俊（冈田准一 配音），校园生活平添一道靓丽的色彩。与此同时，东京奥运会召开在即，学校内俊和一群好友所栖身的古旧建筑“拉丁区”面临拆毁的命运。为了保护心中的圣地，俊、海以及同好们联合起来。在此过程中，他们心中某种隐秘的情愫悄然滋长，但是意想不到的命运却挡在了彼此的面前……本片根据根据高桥千鹤、佐山哲郎1980年1~8月发表在少女杂志《好朋友（なかよし）》上的同名漫画改编。,日本,日语,,,['宫崎吾朗'],"['宫崎骏', '高桥千鹤', '丹羽圭子', '佐山哲郎']","['长泽雅美', '冈田准一', '香川照之', '石田百合子', '风吹淳', '内藤刚志', '风间俊介', '大森南朋', '竹下景子', '柊瑠美']",,红花坂上的海(港) / 来自红花坂(台) / 来自虞美人之坡 / From Up on Poppy Hill / From Kokuriko Hill,"['剧情', '动画']"
232,灌篮高手 スラムダンク,https://movie.douban.com/subject/1998799/,9.7,1993,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2445459194.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rronibdc.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video&amp;link2key=68ffb8fc92'],湘北高中的一年级新生樱木花道在初中就有了被50个女孩抛弃的“悲惨”经历，最后一个女孩抛弃他原来是看上了篮球部队小田，由此樱木对篮球更是深恶痛绝。进入高中后，樱木看上了美少女赤木晴子，晴子十分热爱篮球，为了赢取晴子的芳心，樱木决定加入篮球部。在侥幸赢得与篮球队队长赤木刚宪的打赌后，樱木顺利加入了篮球队。随着国中篮球联赛的最有价值球员流川枫的到来、伤愈复出的控位宫城良田以及误入歧途的前国中最有价值球员三井寿的回归，去年不堪一击的湘北篮球今年可谓人强马壮，虽然问题少年一大帮，但是在队长赤木刚宪的带领下，这一群以全国第一为目标的篮球少年正朝着自己的梦想进发！,日本,日语,22分钟,101.0,"['西泽信孝', '角铜博之', '志水淳儿', '明比正行', '又野弘道', '中村哲治', '吉泽孝男', '有迫俊彦', '竹之内和久']","['井上雄彦', '岸间信明', '菅良幸']","['草尾毅', '绿川光', '梁田清之', '置鲇龙太郎', '盐屋翼', '原惠理子', '平松晶子', '田中秀幸', '小野坂昌也', '神奈延年', '西村知道', '森川智之', '干本雄之', '盐屋浩三', '佐藤正治', '江川央生', '川津泰彦', '大塚芳忠', '石川英郎']",,篮球飞人 / 男儿当入樽(港) / Slam Dunk,"['喜剧', '动画', '运动']"
233,福音战士新剧场版：Q ヱヴァンゲリヲン新劇場版：Q,https://movie.douban.com/subject/2567647/,8.4,2012,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1768906265.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F32s44m851ltsbnu%2Fz0024rsmxuj.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep29882%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",14年前，初号机疑似神化第一形态的觉醒带来近三冲击，使世界发生前所未有的巨变。在此之后，葛城美里（三石琴乃 配音）等NERV旧部出走，成立了反抗seele和NERV的Wille。Wille授命明日香（宫村优子 配音）和真里（坂本真绫 配音）夺回被封印在卫星轨道上的初号机和碇真嗣（绪方惠美 配音），但绝对禁止真嗣登上初号机。感受到周遭的敌意，懵懂的真嗣跟随绫波丽（林原惠美 配音）登上突然入侵的九号机，返回了千疮百孔的NERV总部。在这里，他意外重逢朝思夜想的绫波，还从父亲那里得知自己将和美少年渚薰（石田彰 配音）共同驾驶十三号机。长达14年的空白，期间的沧桑巨变和情感纠葛让真嗣不知所措。而看似温柔的渚薰为他揭开了种种难以置信的真相……本片为EVA新剧场版四部曲的第三部。,日本,日语,,,"['庵野秀明', '摩砂雪', '前田真宏', '鹤卷和哉']",['庵野秀明'],"['绪方惠美', '石田彰', '林原惠美', '宫村优子', '山寺宏一', '三石琴乃', '坂本真绫', '山口由里子', '立木文彦', '优希比吕', '清川元梦', '麦人', '大塚明夫', '泽城美雪', '大原沙耶香', '伊濑茉莉也', '胜杏里', '山崎和佳奈', '野田顺子', '仪武祐子', '齐藤佑圭', '小野冢贵志', '宫崎宽务', '手冢宏通', '合田慎二郎', '手冢弘道 Hiromichi Tezuka', '岩崎洋介']",,福音战士新剧场版：急 / Evangelion 3.0 YOU CAN (NOT) REDO / Evangelion: 3.0 Quickening / Evangelion Shin Gekijôban: Kyu / Evangelion New Theatrical Edition: Q,"['剧情', '科幻', '动画']"
234,伍六七之暗影宿命,https://movie.douban.com/subject/36093359/,8.2,2023,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2886272760.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200hi47zu4%2Fm0046hummzz.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep720223%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTk4Mzg2Njk1Mg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video']",随着伍六七回到玄武国寻找他的身世，亦引起了七大暗影刺客的追捕。然而每一位暗影刺客都带着不同的目的和不同的过去，青凤的阴谋也在此浮出了水面。而此时等待着小鸡岛上的人民，又将是另一个危机，伍六七将如何面对他的抉择？,中国大陆,汉语普通话,15分钟,10.0,['何小疯'],['何小疯'],"['何小疯', '段艺璇', '马正阳', '刘小倩']",,刺客伍六七 第四季 / 刺客伍六七 第4季 / 伍六七 第四季,"['喜剧', '动作', '动画', '冒险', '武侠']"
