id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
125,昨日青空,https://movie.douban.com/subject/26290410/,6.1,2018,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2533173724.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2F8aoxuf6nhwgcqni.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],中国首部青春题材动画电影《昨日青空》将于2018年暑期全国上映。该片改编自口袋巧克力同名人气漫画作品，由咕咚导演奚超执导。影片以中国南方小镇兰溪为实际取景地，讲述了小镇上的几位高三学生，有关梦想、友谊、亲情和初恋等的成长经历，描绘出一段极具中国风、清新唯美的青春故事。,中国大陆,汉语普通话,,,['奚超'],"['奚超', '曹曙婷', '口袋巧克力']","['苏尚卿', '王一博', '段艺璇', '马斑马', '林强']",,Crystal Sky of Yesterday,"['爱情', '动画']"
126,航海王：红发歌姬 ONE PIECE FILM RED,https://movie.douban.com/subject/35675082/,6.8,2022,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2884233470.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200b6clv1r.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss45003%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F550779%2F18999869.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video']",令全世界为之疯狂的歌姬·乌塔，她的身世成谜，歌声却被誉为“来自别的次元”。而这次，她将举办演唱会并第一次露出庐山真面目。为了欣赏她的歌声，路飞率领的草帽一伙，以及世界各地的歌迷都汇聚在会场之中。全世界备受瞩目的歌声即将在此回荡。而故事就在乌塔是“杰克斯的女儿”这一令人震惊的发现中拉开帷幕！,日本,日语,,,['谷口悟朗'],"['黑岩勉', '尾田荣一郎']","['田中真弓', '中井和哉', '冈村明美', '山口胜平', '平田广明', '大谷育江', '山口由里子', '矢尾一树', '长岛雄一', '宝龟克寿', '名冢佳织', '津田健次郎', '池田秀一', '神谷浩史', '高户靖广', '水岛裕', '森久保祥太郎', '土井美加', '永野广一', '小山茉美', '杉田智和', '内田夕夜', '三田友子', '木村雅史', '立木文彦', '泽木郁也', '置鲇龙太郎', '太田真一郎', '关智一', '佐佐木诚二', '进藤尚美', '梶裕贵', '桑岛法子', '上田丽奈', '渡边久美子', '大本真基子', '茶风林', '野田圭一', '绪方贤一', '园部启一', '平野正人', '增谷康纪', '麻生智久', '松田健一郎', '桥诘知久', '矢野正明', '猪股慧士', '照井春佳', '高桥花林', '大和田仁美', '松冈美里', '川庄美雪', '内海安希子', '鹤田真希', '天希花音', '山口茜', '角仓英里子', '蟹江俊介', '清水健佑', '千叶俊哉', '兼政郁人', '城冈祐介', '尾高庆安', '吾妻奎太', '富冈佑介', '藤吉浩二', '田原阿尔诺', '小林通孝', '土门仁', '小野健一', '中田让治', '绿川光', '二又一成', '岛田敏', '斋藤志郎', '中村浩太郎', '大场真人', '粗品', '圣也', '新津知世', '竹中直人', '山田裕贵']",,航海王：红 / 海贼王：红 / 海贼王剧场版15 / 航海王剧场版：红发歌姬(台) / 海贼王2022 / 航海王剧场版15 / 航海王2022,"['动作', '动画', '奇幻', '冒险']"
127,朝花夕誓 さよならの朝に約束の花をかざろう,https://movie.douban.com/subject/27083561/,7.0,2018,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2545561196.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbdgik3cowzcgdwi.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],故事发生在一座名为伊奥鲁夫的城市中，在这里出生的人们拥有无限的寿命，外表却会定格在15岁的模样，玛奇亚（石见舞菜香 配音）就是这样一个土生土长的伊奥鲁夫少女。一天，为了抢夺永生之血，梅萨蒂军乘坐着古代神兽对伊奥鲁夫发动了空袭，造成了惨重的损失，玛奇亚的好友蕾莉亚（茅野爱衣 配音）被掠走了，和蕾莉亚一起失踪的，还有玛奇亚暗恋的少年克里姆（梶裕贵 配音）。在黑暗的森林里，幸存的玛奇亚捡到了一名男婴，他的双亲在之前的袭击中丧生了。玛奇亚以母亲的身份收养了他，给他取名为艾瑞尔（入野自由 配音）。,日本,日语,,,"['冈田麿里', '筱原俊哉']",['冈田麿里'],"['石见舞菜香', '入野自由', '樱井优辉', '茅野爱衣', '梶裕贵', '细谷佳正', '佐藤利奈', '日笠阳子', '泽城美雪', '杉田智和', '久野美咲', '平田广明', '徐斌', '栗本有规', '宍户准之介', '岩川泰千', '岩崎博', '河本启佑', '咲野俊介', '伊东美弥子', '浅野真由美', '莲岳大', '内田夕夜', '前田爱', '松川央树', '岩崎谅太', '本桥大辅', '水中雅章', '柳田淳一', '川上晃太', '佐佐健太', '岛袋美由利', '矢野奖吾', '笠间淳', '藤间隼', '绵贯龙之介']",,朝花夕誓：于离别之朝束起约定之花 / 在离别之朝竖起约定之花 / 在离别的清晨装点上约定之花 / 道别的早晨就用约定之花点缀吧(台) / Let Us Adorn the Morning of Farewells with Promised Flowers / Maquia: When the Promised Flower Blooms,"['动画', '奇幻']"
128,漩涡 うずまき,https://movie.douban.com/subject/34814546/,7.2,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913883676.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbdgik3cowzcgdwi.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],故事从一名高中生叙述而开始，五岛桐绘和她的男朋友斋藤秀一以及住在这个受诅咒的黑涡镇的人们，面对着一连串围绕在漩涡相关的诅咒和超自然事件当中，而这座小镇的秩序也即将失控。,日本 / 美国,日语,22分钟,4.0,['长滨博史'],"['伊丹秋', '伊藤润二']","['佐武宇绮', '三木真一郎', '伊濑茉莉也', '古川登志夫', '松山鹰志', '土井美加', 'Katsutoshi Matsuzaki', '羽多野涉 Wataru Hatano', '羽多野涉', '橘龙丸']",,Uzumaki,"['动画', '恐怖']"
129,万神殿 第一季 Pantheon Season 1,https://movie.douban.com/subject/34990593/,8.8,2022,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2878569702.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbdgik3cowzcgdwi.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],Maddie是个被欺凌的少女，某天她在网上得到神秘的帮助，而她很快发现对方原来是新近过身的父亲David。David参加了个实验并被破坏了脑部，但实际是他脑部被扫描及上传到云端，使他成功新物种「Uploaded Intelligence」的第一例，但他的存在也即将引发一场新型的世界大战。,美国,英语,41分钟,8.0,"['David Dwooman Woo', '梅尔·祖耶', '埃德·塔德姆', '迈卡·古奈尔', '朱诺·李']","['克雷格·西尔弗斯坦', '阿尔伯特·金', '泰伊·K·奥斯汀', '安迪·帕克', '朱莉娅·库珀曼', '斯科特·甘尼森·米勒', '迈克尔·泰勒']","['凯蒂·张', '保罗·达诺', '艾伦·艾克哈特', '罗丝玛丽·德薇特', '金大贤', '克里斯·迪亚曼托普洛斯', '拉扎·杰夫里', '朗·里维斯顿', '泰勒·席林', '凯文·杜兰', '克里斯蒂娜·阿拉巴多', '威廉·赫特', '萨缪尔·劳金', '希瑟·林德', '斯科特·麦克纳里', '滕德·艾德比佩', '格蕾·德丽斯勒', '迈克尔·凯利', '茉德·阿帕图', '托马辛·麦肯齐', '克莱德·草津']",,,"['剧情', '动作', '科幻', '动画']"
130,十万个冷笑话2,https://movie.douban.com/subject/26759539/,7.3,2017,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2492917402.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbdgik3cowzcgdwi.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],拥有着强大力量的创世神杖被四大神之一的埃及神拉（李璐 配音）盗走。为了令宇宙免于被毁灭的悲惨命运，希腊神宙斯（藤新 配音）派出了自己的女儿雅典娜（山新 配音）追踪神杖的下落。小金刚（皇贞季 配音）是自幼生长在孤儿院里的平凡少年，常年凭借着机灵的脑瓜靠着坑蒙拐骗赚钱度日，只为了有朝一日身患重病的青梅竹马小青（C小调 配音）能够康复。一次偶然中，小金刚得到了藏有创世神杖下落的藏宝图，随后遭到了雷神托尔（李姝洁 饰）的伏击，在争抢之中，藏宝图被破坏，就这样，小金刚成为了唯一一个知道创世神杖在哪里的凡人。就这样，小金刚、雅典娜、托尔，再加上一个来自东方的脱线河神（郝祥海 饰），一行四人踏上了寻找创世神杖的旅途。,中国大陆,汉语普通话,,,"['卢恒宇', '李姝洁']","['卢恒宇', '李姝洁', '寒舞', '隋佳林', '高信影', '赵聪']","['山新', '郝祥海', '李姝洁', '藤新', '图特哈蒙', '李佳怡', '佟心竹', '九孔', '卢恒宇', '宝木中阳']",,十冷2 / One Hundred Thousand Bad Jokes II,"['喜剧', '动画', '奇幻']"
131,河童之夏 河童のクゥと夏休み,https://movie.douban.com/subject/2982823/,8.7,2007,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1015305516.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep89694%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],就快放暑假了，小学生上原康一在放学回家的路上捡到一块大石头。他把石头带回了家，没想到用水一洗，里面竟跳出一只小河童来。小河童对他“咕”的叫了一声，于是康一就给它取名为“小咕”。小咕会说人类的语言，几百年来他一直被埋在在地下。康一很快就和小咕成了好朋友，他们一起洗澡，一起吃饭，一起睡觉。而其它家庭成员也接受了小咕，小河童成了上原一家的秘密。一天，小咕提出想回家和伙伴们在一起。康一为了让小咕了解外面的世界，悄悄把它带了出去。小咕发现环境已经面目全非，大吃了一惊，这个不适合就河童生存的地方根本就找不到伙伴。看到小咕难过，康一也不好受。他和小咕一起外出旅行，来到了还保存着河童传说的远野县。两人在美丽的大自然中找到了适合河童生活的地方，小咕愉快地在清澈的河里游了起来，康一也为它高兴。可是，在这里也怎么都找不到其它河童。康一听到村民们说“抓住一只河童能得一千...,日本,日语,,,['原惠一'],"['原惠一', '木暮正夫']","['富泽风斗', '横川贵大', '田中直树', '西田尚美', '松元环季', '植松夏希', '羽佐间道夫', '藤本让', '富田耕生', '一城美由希', '岩田安生', '稻叶实', '定冈小百合', '西川宏美', '濑那步美', '平野正人', '泷本富士子', '井上里花', '成田剑', '木村雅史', '大川透', '太田真一郎', '田中一成', '野上尤加奈', '新千惠子', '北村允志', '河野裕', '纳谷六朗', '玄田哲章', '乡里大辅', '佐佐木敏', '藤原启治', '矢岛晶子', '优希比吕', '子安武人', '阪口大助', '大西健晴', '川中子雅人', '山中真寻', '岛香裕', '中村千绘', '永岛由子', '宫本侑芽', '安达直人', '松冈和晖', '吉武怜朗', '村上想太', '池田恭祐', '日高里菜', '吉原沙希', '枚田菜菜子', '泷原祐太', '安原义人', '柳乐健一', '照屋年之']",,跟河童小咕的暑假时光 / Summer Days with Coo,"['喜剧', '动画', '奇幻']"
132,神印王座,https://movie.douban.com/subject/35755307/,6.9,2022,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2897419027.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc002007j7p5hn%2Fk0042sids9q.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video'],六千年前，魔神皇枫秀与七十二根魔神柱从天而降，所有生物沾染魔神柱散发的气息，立刻会变异成魔族生物，人类随之进入黑暗年代。随后，人类强者自行组织六大圣殿，阻挡魔族前进的脚步，逐渐形成人魔共存的局面。主角龙皓晨，为救母加入六大圣殿之一的骑士圣殿成为一名骑士，在一步步成长冒险中，奇遇，诡计，命运般的爱情与友情不断在他身上上演。龙皓晨坚守骑士精神，通过自己的人格与努力，赢得他人认可。他先是与六大圣殿其他天才少年组成“1号猎魔团”对抗魔族，为人类的生存与尊严奋战。同时不惜献出生命，守护自己的伙伴与最珍贵的爱人。而世界的局势变化难测，更多的阴谋在酝酿，更深的秘密也等着他却揭开。而最终龙皓晨是否能赢得神印王座的认可，登上骑士圣殿的最高荣耀，同时他又是否能面对所有真相揭开的那一刻，化解整个世界最大的危机，一切都有待揭晓。,中国大陆,汉语普通话,20分钟,156.0,"['曾元俊', '李健宁']","['曾元俊', '唐家三少']","['常蓉珊', '瞳音', '叶知秋', '阎么么', '藤新', '刘明月']",,神印王座动画 / Throne of Seal,"['动作', '动画', '战争', '奇幻']"
133,擅长逃跑的殿下 逃げ上手の若君,https://movie.douban.com/subject/36315208/,8.3,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2902036027.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep833513%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],公元1333年，为日本的武士治国打下基础的镰仓幕府，因为深得信赖的幕臣·足立高氏的谋反而灭亡。失去一切、被推入绝望深渊的幕府正统继承人·北条时行，在自称是神的神官·诹访赖重的指引下逃出了化为焦土的镰仓……。时行在逃亡到诹访后，遇见了值得信赖的伙伴，并慢慢累积夺回镰仓所需的力量。面对时代变迁的惊涛骇浪，与「战斗」、「死亡」的武士生存之道背道而驰，时行选择以「逃跑」、「求生」克服困境。开始于这英雄众多的乱世，时行重新夺回天下的鬼抓人游戏将如何发展呢――。,日本,日语,23分钟,12.0,['山崎雄太'],"['富田赖子 Tomita Yoriko', '松井优征']","['結川あさき', '中村悠一']",,少主溜得快 / The Elusive Samurai,['动画']
134,JOJO的奇妙冒险 不灭钻石 ジョジョの奇妙な冒険 ダイヤモンドは砕けない,https://movie.douban.com/subject/26650051/,9.4,2016,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327887093.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep251326%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],为了寻找外公乔瑟夫的私生子，空条承太郎（小野大辅 配音）来到了杜王町，名为东方仗助（小野友树 配音）的高中一年级男生正是空条承太郎要寻找的人，让承太郎没有想到的是，东方仗助拥有着和自己一样的“替身”能力。身材矮小但拥有强大意志力的广濑康一（梶裕贵 配音），大脑一根筋但对待朋友忠诚不二的虹村亿泰（高木涉 配音），自大而又偏执的人气漫画家岸边露伴（樱井孝宏 配音），围绕在东方仗助身边的，是这些有趣而又强大的朋友和队友们，与此同时，越来越多的替身使者亦接连浮出水面。当罪恶的魔爪伸向杜王町之时，东方仗助愿意以自己的生命为代价，保护这片他热爱的土地。,日本,日语,24分钟,39.0,"['津田尚克', '加藤敏幸', '波多正美', '副岛惠文', '光田史亮', '高村雄太', '松林唯人', '藤本次朗', '江岛泰男', '朝木幸彦', '吉田隆彦', '古川顺康', '玉村仁', '江副仁美', '村田光']","['荒木飞吕彦', '小林靖子', '笔安一幸', '猪爪慎一', '安川正吾', '加藤敏幸']","['小野友树', '梶裕贵', '高木涉', '樱井孝宏', '小野大辅', '森川智之', '能登麻美子', '川岛得爱', '志村知幸', '石冢运升', '丰口惠美', '大川透', '森久保祥太郎', '原纱友里', '山口胜平', '大原沙耶香', '岛村侑', '佐藤利奈', '千叶繁', '坂本千夏', '加濑康之', '谷山纪章', '远近孝一', '伊藤静', '河西健吾', '石井真', '鹤冈聪', '下和田裕贵', '滨田贤二', '川田妙子', '宝龟克寿', '楠见尚己']",,JOJO的奇妙冒险 第四季 / JoJo's Bizarre Adventure: Diamond is Unbreakable,"['剧情', '动作', '动画', '奇幻']"
