id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
300,遮天 年番1,https://movie.douban.com/subject/35639782/,6.0,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2877602915.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200n53vkqc%2Fv0046otbtmj.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video'],本作动画改编自起点白金作者辰东遮天三部曲的第一部——遮天。冰冷与黑暗并存的宇宙深处，九具庞大的龙尸拉着一口青铜古棺，亘古长存。这是太空探测器在枯寂的宇宙中捕捉到的一幅极其震撼的画面。九龙拉棺，究竟是回到了上古，还是来到了星空的彼岸？一个浩大的仙侠世界，光怪陆离，神秘无尽。热血似火山沸腾，激情若瀚海汹涌，欲望如深渊无止境……登天路，踏歌行。,中国大陆,汉语普通话,20分钟,52.0,['赵侠'],"['范圣怡', '丁鹂', '徐俊', '胡纯鸿']","['徐翔', '赵乾景', '吴磊', '张若瑜', '张欣', '王肖兵', '韩娇娇', '李蝉妃']",,遮天第一季：缘起 / 遮天 动画版 / Shrouding the Heavens,"['动画', '奇幻', '冒险']"
301,航海王：强者天下 ONE PIECE FILM STRONG WORLD,https://movie.douban.com/subject/3915458/,8.5,2009,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2912052833.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rro4ghbc.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video&amp;link2key=68ffb8fc92'],在一个风和日丽的日子，草帽海贼团正悠闲地在海上航行。突然，天空中出现一个漂浮的小岛，娜美及时通知各位规避即将到来的龙卷风，她的能力引起了小岛上海贼的注意。这个海贼首领非同寻常，他名叫金狮子史基，在大海贼时代到来前曾和哥鲁德•罗杰拼杀争霸。罗杰被俘后，史基也被投入海底监狱，但他却斩断双脚逃亡，并决心向东海展开复仇。史基意欲拉娜美入伙，双方不可避免发生纷争，经过一波三折，娜美最终落入史基手中。为了救出伙伴，并阻止东海毁灭计划，草帽海贼团将和史上最强大的敌人展开对决……本片根据尾田荣一郎同名原著改编，系《海贼王》的第十部剧场版动画，尾田荣一郎亲自担任制作总指挥。,日本,日语,,,['境宗久'],"['上坂浩彦', '尾田荣一郎']","['田中真弓', '冈村明美', '中井和哉', '山口胜平', '平田广明', '大谷育江', '山口由里子', '矢尾一树', '长岛雄一', '中尾隆圣', '银河万丈', '水田山葵', '土井美加', '京田尚子', '中友子', '高户靖广', '青野武', '竹本英史', '沼田祐介', '高冢正也', '西胁保', '平井启二', '藤本隆弘', '织田优成', '松原大典', '福原耕平', '宫坂俊藏', '宫崎宽务', '石黑千寻', '台奈津树', '藤堂真衣', '富冈美沙子', '中川智美', '砥出惠太', '桥爪知久', '赤羽根健治', '中博史', '石森达幸', '山崎和佳奈', '北岛康介', '皆藤爱子', '竹中直人']",,航海王剧场版10：强者天下 / 海贼王剧场版第10弹 / 海贼王剧场版10：强者世界 / 海贼王剧场版10：强者天下,"['动画', '奇幻']"
302,数码宝贝 デジモンアドベンチャー,https://movie.douban.com/subject/1970134/,9.5,1999,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554018582.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rrok50fw.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video&amp;link2key=68ffb8fc92'],1999年，由于数码世界资料异常增生，导致数码世界和现实世界的连接发生紊乱。地球上相应地出现奇怪的自然现象：东南亚没有下雨，池塘全部干涸；中东却因为连场大雨发生洪水；美国则遇到有史以来最寒冷的冬天。11岁的少年八神太一（藤田淑子 配音），和伙伴石田大和（风间勇刀 配音）、武之内空（水谷优子 配音）、泉光子郎（天神有海 配音）、太刀川美美（前田爱 配音）、城户丈（菊池正美 配音）、高石武（小西寛子 配音）一起参加了夏令营，一次意外却被神秘地送到了一个多彩的数码世界。在那里，他们得到了叫做“数码宝贝”的搭档。进入数码世界后，八神太一一行人遇到了凶恶的怪兽贝壳兽，眼看大家都要被抓住的时候，太一的亚古兽忽然进化成为暴龙兽，拯救了他们。进化到底是怎么回事情？数码世界究竟是什么？无数的谜团出现在被召选的小朋友们面前，精彩的冒险就这样开始了……,日本,日语,30分钟,54.0,"['角铜博之', '芝田浩树', '川田武范', '今村隆宽', '今泽哲男', '早川启二', '志水淳儿', '吉泽孝男', '小坂春女', '中村哲治', '细田守']","['本乡昭由', '西园悟', '雅木宏', '前川淳', '吉村元希', '浦泽义雄', '大和屋晓', '吉田玲子']","['藤田淑子', '风间勇刀', '水谷优子', '天神有海', '前田爱', '菊池正美', '小西宽子', '荒木香惠', '坂本千夏', '山口真弓', '重松花鸟', '樱井孝宏', '山田木野子', '竹内顺子', '松本美和', '德光由禾']",,数码暴龙 / 数码兽大冒险 / Digimon: Digital Monsters / Digimon,"['动作', '动画', '惊悚', '家庭', '奇幻', '冒险']"
303,死神 千年血战篇 ブリーチ 千年血戦篇,https://movie.douban.com/subject/35001432/,9.1,2022,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2877408292.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTkxMDQxMzgyOA%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],在一次邂逅中得到死神的力量而成为“代理死神”的黑崎一护，被卷入死在现世的魂魄所聚集的地方——尸魂界的动乱中，在激烈的战斗中和同伴一起也成长了很多。因为一护的生活，所生活的空座町发生了异变。新的死神和新的敌人的出现，以及呼救声。一护再次拿起斩魄刀，踏上战场。另一方面，在尸魂界观测到现世中的虚突然连续消失被引导到这片土地的灵魂所生活的流魂街居民们发生了失踪并且死神们驻守的灵屋・瀞灵廷被贼军袭击。贼军的真实身份是灭却师始祖・友哈巴赫所率领的“无形帝国”。“无形帝国”向死神们宣战。5天后，尸魂界被“无形帝国”歼灭历经千年之久死神们所背负的因缘。那个宿命和隐藏的真相终于被揭开。一切都走向终结。黑崎一护，最后的战斗开始了——,日本,日语,24分钟,13.0,['田口智久'],"['久保带人', '田口智久', '平松正树']","['森田成一', '折笠富美子', '置鲇龙太郎', '杉山纪彰', '伊藤健太郎', '松冈由贵', '朴璐美', '菅生隆之', '速水奖', '桧山修之', '三木真一郎', '安元洋贵', '小西克幸', '雪野五月', '小野坂昌也', '高冈瓶瓶', '桑岛法子', '樫井笙人', '久川绫', '稻田彻', '大塚明夫', '杉田智和', '中尾隆圣', '立木文彦', '石川英郎', '楠见尚己', '上田耀司', '志村知幸', '佐藤利奈', '恒松步', '梅原裕一郎', '武内骏辅', '竹达彩奈', '小野友树', '内山夕实', '花江夏树', '日野聪']",,境界 新篇章 / BLEACH 千年血战篇 / Bleach: Thousand-Year Blood War,"['动作', '动画', '奇幻', '冒险']"
304,龙珠Z ドラゴンボール Z,https://movie.douban.com/subject/4006490/,9.6,1989,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554128260.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fwww.iqiyi.com%2Fv_19rroo8z7w.html%3Fvfm%3Dm_331_dbdy%26fv%3D4904d94982104144a1548dd9040df241&amp;subtype=9&amp;type=online-video&amp;link2key=68ffb8fc92'],结束了与新短笛大魔王的天下第一比武大会，我们的地球迎来了长达五年的和平时期，数次拯救世界的孙悟空（野泽雅子 饰）在此期间与琪琪走入婚姻殿堂，并生下了可爱的儿子悟饭。然而更大的危机一波又一波向勇敢的战士们袭来。打头阵的赛亚人拉迪兹，意外揭开了悟空的身世。宿命的对手贝吉塔则 让悟空真正见识到高手的存在。在此之后，那美克星、弗利札、超级赛亚人、人造人、未来少年、魔人布欧。精彩戏码接连上演，拉开了龙珠Z的宏大篇章……本片根据日本漫画家鸟山明的同名经典原著改编。,日本,日语,25分钟,291.0,['西尾大介'],['隅泽克之'],"['野泽雅子', '古川登志夫', '青野武', '千叶繁', '江川央生', '古谷彻', '江森浩子', '银河万丈', '田中真弓', '鹤广美', '堀川亮', '饭冢昭三', '庄真由美', '渡边菜生子']",,Dragon Ball Z: Doragon bôru zetto,"['动作', '动画', '奇幻', '冒险']"
305,不时用俄语小声说真心话的邻桌艾莉同学 時々ボソッとロシア語でデレる隣のアーリャさん,https://movie.douban.com/subject/36318048/,6.7,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2909884336.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep827835%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],坐在久世政近邻桌的艾莉同学，看政近的目光总是很冷淡。然而她又时不时地用俄语向他表露心意……而这些话语从未被政近错过。原来，政近其实有着母语级别的俄语听力！！艾莉同学对此一无所知，时不时地说着真心话。政近明明能听懂她的心意，却要装作听不懂。令人止不住嘴角上扬的恋爱故事究竟会如何发展？！,日本,日语 / 俄语,24分钟,12.0,['伊藤良太'],['伊藤良太'],"['天崎滉平', '上坂堇', '丸冈和佳奈', '藤井雪代', '会泽纱弥', '河濑茉希', '石川界人', '青山吉能', '长谷川育美']",,不时轻声地以俄语遮羞的邻座艾莉同学 / 时不时说一句俄罗斯语来掩饰害羞的邻桌艾莉同学 / 偶尔会用俄语小声嘀咕掩饰害羞的邻桌的阿莉娅同学 / 邻座的艾琳同学偶尔会用俄语悄悄撒娇 / Alya Sometimes Hides Her Feelings in Russian / Иногда Аля внезапно кокетничает по-русски,"['喜剧', '爱情', '动画']"
306,给桃子的信 ももへの手紙,https://movie.douban.com/subject/6010171/,8.3,2011,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1781641001.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep89180%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],11岁的小学6年级女孩宫浦桃子（美山加恋 配音）在父亲意外去世后，随母亲郁子（优香 配音）从东京迁到了濑户内海的汐岛。忙碌的母亲无暇顾及桃子，令桃子在新环境中时常感到孤单无助。桃子一直保留着父亲只写下了“给桃子”这样开头的一封信，但是始终无法明白父亲想要通过信件传达给她的话 。 初到汐岛，桃子打开了阁楼里一个装着描绘妖怪画册的旧盒子，从此开始察觉到身边一连串不可思议的事情。“汐岛上一定存在着什么东西”，怀抱着这样想法的桃子，在汐岛奇异而热闹的夏天里邂逅到的竟会是……？本片由日本知名动画公司Production I.G制作，是《人狼》导演沖浦啓之睽违多年的温馨治愈之作。,日本,日语,,,['冲浦启之'],['冲浦启之'],"['美山加恋', '优香', '坂口芳贞', '谷育子', '小川刚生', '荒川大三郎', '藤井皓太', '桥本佳月', '山本道子', '中博史', '高桥耕次郎', '冈田吉弘', '前田义信', '福岛桂子', '山口登', '细谷佳正', '宫崎宽务', '光藤真白', '高田始圣', '田中绫', '藤村天羽', '武田幸史', '岛崎信长', '长岛雄一', '山寺宏一', '西田敏行']",,给小桃的信(台) / 小桃の奇幻手纸(港) / A Letter to Momo / Momoe no tegami,"['剧情', '动画']"
307,鬼灭之刃 锻刀村篇 鬼滅の刃 刀鍛冶の里編,https://movie.douban.com/subject/35769236/,8.7,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2888671774.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep752432%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],卖炭维生的善良少年炭治郎，某天家人惨遭鬼杀害。而唯一幸存的妹妹祢豆子，却变化成鬼。遭到绝望现实打击的炭治郎，为了让妹妹恢复回人类，为了被杀害的家人向鬼报仇，决定踏上”猎鬼”之路。,日本,日语,24分钟,11.0,['外崎春雄'],['ufotable'],"['花江夏树', '鬼头明里', '冈本信彦', '河西健吾', '花泽香菜', '古川登志夫', '鸟海浩辅', '小西克幸', '关智一', '下野纮', '松冈祯丞', '上田丽奈', '宫野真守', '森川智之', '佐藤利奈', '浪川大辅', '竹本英史', '村濑步', '屋良有作', '江原裕理', '山下七海', '真野步', '桑原由气', '古川慎', '井上和彦', '野岛裕史', '山崎巧', '钉宫理惠', '关俊彦', '置鲇龙太郎', '石田彰', '井上麻里奈']",,鬼灭之刃 刀匠村篇,"['剧情', '动画']"
308,云的彼端，约定的地方 雲のむこう、約束の場所,https://movie.douban.com/subject/1381964/,7.7,2004,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1071335065.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep63668%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],战争之后，日本被分为南北两个部分。美军统治下的青森县，少年藤泽浩纪和白川拓也都喜欢同年级的同学泽度佐由理。他们的心中都有佐由理，还有那个东西——边境以北的津轻海峡，日本北海道联盟建立的高耸云端的“塔”。巨大而神秘的的塔，是三位少年少女的向往，他们约定，建造小型飞机，飞向 塔去一探究竟。中学三年级佐由理转学到东京。两位少年放弃了制造飞机的打算。浩纪考进东京的高中，拓也继续留在青森的高中就学，彼此在各自的道路上越走越远。但是，多年后，佐由理在医院中陷入沉睡！这突如其来的病症让三人再次聚在一起。沉睡的病症，与塔的力量有神秘的联系，而塔本身，似乎也成了日本南北开战的据点。卷入战争与爱情的三人，到底是救佐由理，还是救世界！命运的解答，似乎就在云的那一端，他们曾经约定的地方。,日本,日语,,,['新海诚'],"['新海诚', '史蒂夫·福斯特']","['吉冈秀隆', '萩原圣人', '南里侑香', '石冢运升', '井上和彦', '水野理纱', '木内秀信', '岩崎征实', '竹本英史', '平野贵裕', '前田刚', '中川里江', '中尾友里', '齐藤真纪', '鲸井康介', '上世博及']",,云的彼端，约定之所 / 到云的那边再见 / 梦飞天涯 / 云之彼端，约定之地 / The place promised in our early days,"['剧情', '科幻', '动画']"
309,名侦探柯南：异次元的狙击手 名探偵コナン 異次元の狙撃手,https://movie.douban.com/subject/25782633/,6.9,2014,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2879609227.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc0020024c6oti%2Fe0024272j29.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep325912%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",风和日丽的一天，铃木财团巨资营建的铃木塔举行了盛大的开幕典礼。柯南（高山南 配音）和好朋友们自然受邀参观。谁知一名游客突然被远处建筑发射来的子弹狙击身亡，柯南锁定凶手果断展开追击，然而对方胆大非常，公然炸毁拦截他的警车，在重重包围中脱身而去。在此之后，FBI和日本警方组成联合调查总部，经朱蒂•斯泰琳（一城美由希 配音）介绍得知，嫌疑人很可能是原美国海豹突击队狙击手蒂莫西·亨特。战功显赫的亨特曾经获得过银星勋章，但是后来被战友指控违反交战原则，射杀了手无寸铁的平民，此后他更在战场上遭遇影响毕生的创痛，人生也彻底跌入低谷。此番他以神秘狙击手的出现，显然是想想那些毁灭了他的人生的人们复仇。狙击事件接连而起，全东京陷入莫大的恐慌之中……,日本,日语,,,['静野孔文'],"['青山刚昌', '古内一成']","['高山南', '山崎和佳奈', '小山力也', '山口胜平', '日高范子', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '绪方贤一', '家弓家正', '一城美由希', '梁田清之', '茶风林', '井上和彦', '置鲇龙太郎', '汤屋敦子', '千叶一伸', '中井和哉', '大塚周夫', '辻亲八', '松本大', '岸尾大辅', '浦山迅', '大西健晴', '莲池龙三', '柚木凉香', '甲斐田幸', '半场友惠', '柳泽荣治', '吉田真', '赤星宪广', '福士苍汰', '池田秀一']",,名侦探柯南：剧场版第18部 / 名侦探柯南：2014年剧场版 / Meitantei Conan: Ijigen no sunaipâ / Detective Conan: Dimensional Sniper,"['动画', '悬疑', '犯罪']"
