id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
175,生肖传奇之十二生肖总动员,https://movie.douban.com/subject/5041060/,8.7,2010,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2858721260.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",传说中被封印的年再度降临人间，肆虐大地，并酝酿着巨大的阴谋 —— 让大地陷入永恒的黑暗，受他统治。与此同时，唯一能够战胜年的“紫魁星”也转世降生在东海的一个渔村，他就是我们故事的主人公 —— 小海。年的肆虐毁灭了渔村，并吞掉了小海的父母和保护小海的灶王爷，小海必须找到传说中的“十二圣兽”习得他们的功夫，才能战胜年。于是，小海和第一只圣兽 —— 灶王爷身边的小老鼠“多来米”一起踏上了寻找其他圣兽的漫漫长路。在前后遇到虎、猪、马、牛几位师傅后，小海渐渐从一个什么都不会的普通孩子成长为一个功夫高手。但是，在牛师傅的火焰山，和年的一场战斗让小海意识到自己与年的差距还太大，受到打击陷入低潮。之后掉下山崖的小海被羊师傅救起，养伤过程中，小海在羊师傅和多来米的帮助下重建信心。成长的小海不再盲目冲动的要去找年报仇，而是潜心寻找其余的师傅继续提高自己的功夫修为，又...,中国大陆,汉语普通话,22分钟,52.0,['华强数字动漫公司'],"['武斌', '侯喆']","['万丹青', '胡婷', '史华著', '张秉君', '王雨暄']",,十二生肖总动员,"['剧情', '喜剧', '动画']"
176,猴王传,https://movie.douban.com/subject/26268612/,7.9,2010,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2212960670.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",童年阿西无忧无虑地生活在父母的佑护下，但经过异族长尾猴入侵、父亲被新一代猴王古力杀害、自己被无情放逐出贡卡山等事件的冲击和洗礼，他逐渐成长为一个性格坚强、志向远大的新猴王，最后不但在帕拉山谷找到了真爱，而且以新猴王的身份重返贡卡山，开启了贡卡山猴群的新篇章……《猴王传》剧集分为《阿西的童年》、《猴王归来》上下两部。,中国大陆,汉语普通话,22,52.0,['华强数字动漫公司'],,"['阿西', '琪琪', '阿布', '豆丁']",,,"['动画', '儿童', '奇幻', '冒险']"
177,闻乐知·日漫云演唱会,https://movie.douban.com/subject/35165207/,0.0,2020,https://img1.doubanio.com/cuphead/movie-static/pics/movie_default_medium.png,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",,中国大陆 / 日本,日语,,,,,"['山田信夫', '高桥洋树', '谷本贵义', '松泽由美', 'IMAJO', 'YOFFY', '滨口佑梦']",,经典动漫线上演唱会 2020夏,['音乐']
178,扩至2兆日元的日本动漫产业 加速升级的黑色劳动 2兆円アニメ産業 加速するブラック労働,https://movie.douban.com/subject/30335240/,0.0,2017,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2535189853.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",在动画这个行业，日本站在了世界的巅峰，然而日本动画业界的惨状却哪怕是在日本以外的地区也能有所耳闻，那么他们业界到底有多惨呢？日本动画的规模整体是在扩大，在去年达到了约2兆日元（大约1237亿人民币）的规模，年制作动画部数达到了300部以上。看起来是非常欣欣向荣的景象，然而这些收入能够送到动画制作者手上的却很少。动画师每画一张合格的中间帧只有200日元（大约12人民币）的收入，而一天最多只能画20张。由于动画的要求越来越精细，现在画一张的所耗费的精力比以前还要久，但是单价并没有上涨，动画师常常要面临付出比收获更多的劳动。另一个新人动画师阿久津彻更是惨得不行，住在NPO机构提供的廉价房里，收入低（年收约6.2万人民币），吃得差，活动空间小，睡觉的时候还要拉开工作的地方席地而睡，炒饭洒了一点就觉得很浪费。他还透露干他这行的只有2成上位动画师能够结婚，他...,日本,日语,25,,,,"['武田真一', '田中泉', '吉本拓二', '阿久津徹也', '森健一郎', '入江泰浩', '渥美由喜', '石川光久', '塩田周三', '崔恩英']",,,['纪录片']
179,飞飞雁儿,https://movie.douban.com/subject/27037035/,0.0,2017,https://img1.doubanio.com/cuphead/movie-static/pics/tv_default_medium.png,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",2017年4月国漫新番，独立动画人作品，在B站播出。唯美中国风。,中国大陆,汉语普通话,6分钟,1.0,['一回动漫'],,"['画大染', '北炎']",,,['动画']
180,2012年央视全国动漫暑期大联欢,https://movie.douban.com/subject/36650486/,0.0,2012,https://img1.doubanio.com/cuphead/movie-static/pics/movie_default_medium.png,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",本节目为2012年央视全国动漫暑期大联欢： 1、《欢乐猪猪侠》； 2、《奇幻龙宝》； 3、《魔术师》； 4、《包强食功夫》； 5、《开心农场-抢频道》； 6、《藏在树后的小熊》； 7、《三岔口》； 8、《报灯名》； 9、《洛宝贝-狂想曲》； 10、《秦时明月之海星大道》； 11、《少年唐伯虎》； 12、《小房子与发呆鸟》； 13、《开心农场-搭便车》； 14、《舞狮》； 15、《洛宝贝-成长记》； 16、《小企鹅欢乐颂》。,中国大陆,汉语普通话,,,,,,,,['动画']
181,三只老鼠醉酒记,https://movie.douban.com/subject/5316783/,0.0,2010,https://img1.doubanio.com/cuphead/movie-static/pics/tv_default_medium.png,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",日本清酒、中国二锅头、美国威士忌，到底谁更厉害一些呢？看了片中三只老鼠偷酒喝的故事之后，你就会明白，超级搞笑！,中国大陆,汉语普通话,,1.0,['千龙动漫城'],,,,醉酒记,"['动画', '短片']"
182,山海经之《广异记》,https://movie.douban.com/subject/34979011/,0.0,2013,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2588358729.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fm00158rcxxi.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XMjg3MzIyNDg0.html%3Ftpa%3DdW5pb25faWQ9MTAzNTY1XzEwMDAwMV8wMV8wMQ&amp;subtype=3&amp;type=online-video']",故事改编自《山海经之<广异记>》 “南方赤帝女学道得仙，居南阳崿山桑树上，正月一日衔柴做巢，或做白鹊，或女人。赤帝见之悲恸，诱之不得，以火焚之，女即升天，因名曰帝女桑。”,中国大陆,无对白,,,['相人偶动漫'],,,,,"['动画', '短片', '奇幻']"
183,不正经土豪,https://movie.douban.com/subject/35204891/,0.0,2020,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2620270879.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDgzNzMyMTYxNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],不正经土豪，比你努力也比你幸运！9月11日起，绝对土豪，相对不正经，每周一期“普通”有钱人，带你揭秘“壕”无人性的世界。,中国大陆,汉语普通话,12分钟,10.0,['DC'],['非凡动漫工作室'],['杨小波'],,,['真人秀']
184,小强与旺财,https://movie.douban.com/subject/36907625/,0.0,2023,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2908733722.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDgzNzMyMTYxNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],小强和德强是对一瘦一胖的好伙伴，他们是一对可爱的小昆虫，他们生活在城市的住宅里----那是一个整洁干净没有垃圾的世界。他们虽然躲在人们的厨房中，却整天为吃什么东西而发愁，因为厨房里，有两个大威胁：一个是旺财，他是一只小狗，却喜欢整天捉小强，耍弄他们；另一个是家电，他是一个吸尘器，他恨不得把时间万物都吸个干净，没有一粒灰尘。小强和德强用自己的智慧、爱心和勇气，每天和吸尘器及旺财之间斗志斗勇。,中国大陆,汉语普通话,10分钟,78.0,['徐士安'],['小强动漫编剧组'],,,,
185,C9回家,https://movie.douban.com/subject/26268681/,0.0,2015,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2620036302.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDgzNzMyMTYxNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],《C9回家》主要讲述了在一个美丽的海滨城市，单亲家庭男孩杜球，无意中救下因所乘飞船机械故障而流落在地球的外星生物C9后引发的一系列的故事。外星小朋友C9因飞船故障迫降在岛城后，在一群充满爱心，又机智勇敢小朋友的帮助下，战胜各种困难，终于帮助C9登上回家的飞船。同时，在大人的帮助下，粉碎了黑心老板制造的惊天阴谋，保护地球免遭了灭顶火灾。内容涉及人间关爱，海洋生态，蓝色能源。一系列生动有趣的小故事向小朋友传递着积极的正能量，向社会传播着“关注海洋生态平衡，保护人类共同家园”美好理念。,中国大陆,汉语普通话,,,['董佳佳'],['青岛数码动漫研究院创作组'],,,,['科幻']
186,蜡笔小新：我们的恐龙日记 クレヨンしんちゃん オラたちの恐竜日記,https://movie.douban.com/subject/36680405/,6.6,2024,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2915313612.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDgzNzMyMTYxNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],影片讲述在野原新之助的五岁暑假，东京新开了一个现代复活恐龙的主题公园，迎来了前所未有的恐龙热潮。而在春日部河滩旁，小白也偶遇到了一个新朋友——纳纳，随着春日部防卫队和纳纳的相处，恐龙公园背后的真相也随之揭露，巨大恐龙突然暴走街头，这次他们能否成功化解危机呢？,日本,日语,,,['佐佐木忍'],"['莫瑞尔', '臼井仪人']","['小林由美子', '楢桥美纪', '森川智之', '兴梠里美', '真柴摩利', '林玉绪', '一龙斋贞友', 'Loay Abumazrou', '畠中悠', '伊藤俊辅', '金田朋子', '北村匠海', '小林优', '水树奈奈', '户松遥', '内田真礼', '安元洋贵']",,蜡笔小新剧场版：我们的恐龙日记(港) / 电影蜡笔小新：我们的恐龙日记(台) / Crayon Shin-chan the Movie: Our Dinosaur Diary,"['喜剧', '动画']"
187,千与千寻 千と千尋の神隠し,https://movie.douban.com/subject/1291561/,9.4,2001,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDgzNzMyMTYxNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消 失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她的药丸驱出了小白身体内的封印以及守封印的小妖精，但小白还是没有醒过来。为了救小白，千寻又踏上了她的冒险之旅。,日本,日语,,,['宫崎骏'],['宫崎骏'],"['柊瑠美', '入野自由', '夏木真理', '菅原文太', '中村彰男', '玉井夕海', '神木隆之介', '内藤刚志', '泽口靖子', '我修院达也', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦']",,神隐少女(台) / 千与千寻的神隐 / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi,"['剧情', '动画', '奇幻']"
188,火影忍者剧场版：忍者之路 Road to Ninja: Naruto the Movie,https://movie.douban.com/subject/7152908/,8.0,2012,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2914052283.jpg,,刚刚结束了与叛忍集团“晓”的抗争，木叶村被一股诡异不祥的气氛所笼罩。此时此刻，漩涡鸣人（竹内顺子 配音）沉浸在对家人的思念中，孤独无助。某个晚上，心情糟糕的鸣人巧遇刚刚和家人吵架的小樱（中村千绘 配音），二人在公园闲聊之际，神秘的斑（内田直哉 配音）突然出现，并向二人使出瞳术。眩晕过后，鸣人和小樱发现看似一如平常的木叶村，曾经熟悉的伙伴竟然性格发生巨变。一连串不正常的事件令二人苦恼不已。更令人难以置信的是，包括佐助以及鸣人的父母波风水门（森川智之 配音）和玖辛奈（篠原惠美 配音）也出现在他们的面前。斑的阴谋慢慢展开……本片根据岸本齐史的漫画原作改编，为该作品第九部动画剧场版。,日本,日语,,,['伊达勇登'],"['岸本齐史', '宫田由佳']","['竹内顺子', '中村千绘', '森川智之', '筱原惠美', '伊仓一惠', '松本保典', '井上和彦', '江原正士', '关俊彦', '杉山纪彰', '日野聪', '森久保祥太郎', '伊藤健太郎', '柚木凉香', '鸟海浩辅', '水树奈奈', '川田绅司', '增川洋一', '远近孝一', '田村由香里', '胜生真沙子', '根本圭子', '福田信昭', '中村大树', '藤生圣子', '石川英郎', '飞田展男', '川本克彦', '檀臣幸', '寺杣昌纪', '土师孝也', '中博史', '樱井敏治', '朝仓荣介', '松本忍', '宫下典子', '织部由香里', '大塚芳忠', '玄田哲章', '内田直哉']",,火影忍者剧场版第9弹 / 劇場版 NARUTO -ナルト- ロード・トゥ・ニンジャ,"['动画', '奇幻', '冒险']"
189,名侦探柯南：迷宫的十字路口 名探偵コナン 迷宮の十字路,https://movie.douban.com/subject/2357707/,8.5,2003,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2915734529.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200v6rwn1s%2Ff00241lonsu.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNTMwNjUyNzI4.html&amp;subtype=3&amp;type=online-video']",东京、大阪、京都相继发生杀人事件，5名死者皆是被头戴面具的黑影人用武士刀和弓箭瞬间杀害。警方介入调查，发现死者都是出没于3地专门偷窃有名的佛像及美术品的偷盗集团“源氏萤”成员。该集团共有成员8名，以义经的家臣名字互相称呼，且都持有一本《义经记》，被害5人手中的《义经记》均被拿走。这日京都古寺山能寺收到奇怪书信，说若能解开信中所附的画谜，便能找到8年前被窃的如来佛像。柯南、小兰随毛利小五郎来到该寺，均对画谜一筹莫展。5名被杀者之一曾对与新一不相上下的大阪高中生服部平次照料有加，服部也来到京都对案件秘密展开调查，并借机找寻自己的初恋情人。柯南与服部相遇联手调查时，发现有人想置服部于死地，紧接“源氏萤”另一成员被害，而这一切，似乎又都与画谜有关。,日本,日语,,,['儿玉兼嗣'],['古内一成'],"['高山南', '堀川亮', '山口胜平', '山崎和佳奈', '宫村优子', '神谷明', '绪方贤一', '林原惠美', '岩居由希子', '高木涉', '大谷育江', '松井菜樱子', '置鲇龙太郎', '若本规夫', '茶风林', '井上和彦', '汤屋敦子', '井原启介', '中村大树', '龟井三郎', '游佐浩二', '水内清光', '三户耕三', '里内信夫', '安达麻里', '铃木弘子', '佐久间玲', '一龙斋贞友', '松本幸', '千叶一伸', '菅原淳一', '铃置洋孝']",,名侦探柯南：迷宫的十字路 / 名侦探柯南：剧场版第7部 / Detective Conan 7: Crossroad in the Ancient Capital,"['动画', '悬疑', '冒险']"
190,天空之城 天空の城ラピュタ,https://movie.douban.com/subject/1291583/,9.2,1986,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2892409201.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbzg57zo8fatq3mb.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],古老帝国拉普达是一座漂浮在空中的巨大的机器岛，传说那里已经无人居住，蕴藏着巨大的财富。因此，无论军方还是海盗，都在找寻着这座传说中的飞行岛。矿工巴鲁这天偶遇拉普达继承人希达，两人一见如故。因为希达身上有找寻拉普达帝国的重要物件飞行石，军方和海盗两帮人马都在追杀希达。巴鲁带着希达一起逃亡，最终都没有逃出军方的手中，希达被军队掳走了。为救朋友，只能选择与海盗合作。巴鲁与海盗成功救出了希达，同时，他们也发现了军方的邪恶计划。为了阻止军方邪恶计划的实施，他们和海盗一起踏上了寻找拉普达之旅。,日本,日语,,,['宫崎骏'],['宫崎骏'],"['田中真弓', '横泽启子', '初井言荣', '寺田农', '常田富士男', '永井一郎', '糸博', '鹫尾真知子', '神山卓三', '安原义人', '槐柳二', '鳕子']",,天空之城拉普他 / 空中城堡拉普他 / Tenkû no shiro Rapyuta / Laputa: Castle in the Sky,"['动画', '奇幻', '冒险']"
191,名侦探柯南：百万美元的五棱星 名探偵コナン 100万ドルの五稜星,https://movie.douban.com/subject/36363001/,6.9,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2911723556.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbzg57zo8fatq3mb.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],怪盗基德的预告信出现在了北海道函馆，斧江财阀的收藏库中。这次基德将要盗走的是，江戸幕府时期新选组副长土方岁三的日本刀。向来追逐奢华宝石的怪盗基德，居然会看上刀？此时，被称作西部名侦探的服部平次和柯南一行人，也因为剑道大会来到了函馆，在基德执行预告的当日，平次看穿了基德的伪装并对其穷追不舍！同一时间，一具尸体在函馆仓库街被发现，尸体的胸口有一个十字伤口。搜查中，出现了一位被叫做“死之商人”的活跃于亚洲一带的美籍日裔军火商。这个人一直在寻找斧江家初代家主藏在函馆的宝藏。斧江家江戸幕府战争时代深耕军需产业，传说那宝藏是能扭转幕末纷争的强力武器，而这宝藏似乎和基德追逐欲盗取的刀有着千丝万缕的联系。在基德瞄准刀的同时，有一位剑士也在向基德逼近……,日本,日语,,,['永冈智佳'],['大仓崇裕'],"['高山南', '山崎和佳奈', '小山力也', '山口胜平', '堀川亮', '宫村优子', '大泉洋', '绪方贤一', '岩居由希子', '高木涉', '大谷育江', '林原惠美', '石井康嗣']",,名侦探柯南：100万美元的五棱星 / 名侦探柯南剧场版27 / Detective Conan: The Million-dollar Pentagram,"['动画', '悬疑', '犯罪']"
192,海绵宝宝：拯救比奇堡 Saving Bikini Bottom: The Sandy Cheeks Movie,https://movie.douban.com/subject/36386780/,6.1,2024,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913172626.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fbzg57zo8fatq3mb.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video'],为了制造出适合陪伴人类的海洋伙伴宠物，由海啸女士带领的靴子实验室抓走了比奇堡的所有居民，海绵宝宝和松鼠珊迪·奇克斯为了拯救比奇堡决心前往人类世界，开启了惊心动魄的冒险旅程。海绵宝宝和珊迪在得州被响尾蛇攻击，珊迪的家人们挺身而出帮二人脱险，并护送二人到了靴子实验室。在实验室里众人目睹了海啸女士的邪恶计划，海绵宝宝作为邪恶克隆计划的牺牲品被抓走命悬一线。在危急关头，珊迪发挥自己的聪明才智，在章鱼哥、派大星、蟹老板等比奇堡朋友们和奇克斯家人们的帮助下，排除万难成功阻止了海啸女士的克隆计划。,美国 / 英国 / 加拿大,阿拉伯语 / 英语,,,['丽萨·约翰逊'],"['卡兹', '汤姆·丝特恩', '史蒂芬·海伦伯格']","['卡罗琳·劳伦斯', '汤姆·肯尼', '克兰西·布朗', '比尔·法格巴克', '劳伦斯先生', '罗德格尔·邦帕斯', '约翰尼·诺克斯维尔', '克雷格·罗宾森', '格蕾·德丽斯勒', '伊利娅·伊索雷利·保利诺', '马修·卡德瑞普', '旺达·塞克丝', '克里斯托弗·哈根', '瑞欧·亚历山大', '瑞恩·贝盖', '凯瑞·华格伦', '玛丽·乔·卡特利特', '吉尔·塔利', '迪·布拉雷·贝克尔', '迈尔斯·哈尔']",,珊迪大电影：拯救比奇堡 / 海绵宝宝松鼠珊迪衍生电影 / 海绵宝宝外传电影：松鼠珊迪 / 拯救比奇堡：珊迪·奇克斯大电影,"['喜剧', '动画', '奇幻', '冒险']"
