title,douban_link
楓城物語 メイプルタウン物語,https://movie.douban.com/subject/5032128/
精灵宝可梦：皮卡丘的闪亮大搜查 ピカチュウのキラキラだいそうさく！,https://movie.douban.com/subject/6772969/
妖怪手表：诞生的秘密喵 映画 妖怪ウォッチ 誕生の秘密だニャン！,https://movie.douban.com/subject/25928049/
恐怖人间：最终教师 恐怖のバイオ人間 最終教師,https://movie.douban.com/subject/5142530/
夜樱四重奏 星之海 夜桜四重奏 〜ホシノウミ〜,https://movie.douban.com/subject/4922861/
偶像大师 XENOGLOSSIA アイドルマスター XENOGLOSSIA,https://movie.douban.com/subject/3550715/
精灵宝可梦：皮卡丘冰之大冒险 ピカチュウ 氷の大冒険,https://movie.douban.com/subject/6772968/
装甲骑兵 佩尔森档案 剧场版 装甲騎兵ボトムズ ペールゼン・ファイルズ 劇場版,https://movie.douban.com/subject/3435644/
情浓于水 Buddies Thicker Than Water,https://movie.douban.com/subject/10502540/
亚尔斯兰战记 OAD 2 アルスラーン戦記 友情の宴,https://movie.douban.com/subject/26913881/
东京巴比伦 東京BABYLON,https://movie.douban.com/subject/1742565/
交响诗篇AO 少女峰的花丛 OVA エウレカセブンAO ユングフラウの花々たち,https://movie.douban.com/subject/11639329/
哆啦A梦生日SP：哆啦A梦的青之泪 ドラえもん誕生日スペシャル 「ドラえもんの青い涙」,https://movie.douban.com/subject/33458709/
阿滋漫画大王 短篇电影 あずまんが大王 短編映画,https://movie.douban.com/subject/2239631/
POP IN Q ポッピン Q,https://movie.douban.com/subject/26720126/
能继续奔跑下去真是太好了。 走り続けてよかったって。,https://movie.douban.com/subject/30317849/
三人行必有我妹  OVA この中に1人、妹がいる！ OVA,https://movie.douban.com/subject/19955823/
雨色可可 side G 雨色ココアside G,https://movie.douban.com/subject/30358179/
死囚乐园 デッドマン・ワンダーランド,https://movie.douban.com/subject/5332564/
小忍者 Ninjai,https://movie.douban.com/subject/3783267/
我是御宅上班族 ぼく、オタリーマン。,https://movie.douban.com/subject/4217278/
勇猛宇宙海贼：亚空间之深渊 モーレツ宇宙海賊 ABYSS OF HYPERSPACE -亜空の深淵-,https://movie.douban.com/subject/10864735/
爆炸头武士 Afro Samurai,https://movie.douban.com/subject/1861172/
灼热乒乓妹 灼熱の卓球娘,https://movie.douban.com/subject/26879784/
家有豆芝麻 まめごま,https://movie.douban.com/subject/3391889/
龙珠SP2 悟空的消防隊 ドラゴンボールSP2 悟空の消防隊,https://movie.douban.com/subject/3446643/
世界第一初恋：小野寺律的场合 世界一初恋 OVA 小野寺律の場合,https://movie.douban.com/subject/5384550/
黑礁 第二季 Black Lagoon: The Second Barrage,https://movie.douban.com/subject/4174469/
永远之永恒 第四章 红莲的焦心 トワノクオン 第四章 紅蓮の焦心,https://movie.douban.com/subject/7062599/
哗鬼校园 HAUNTEDじゃんくしょん,https://movie.douban.com/subject/3754625/
神曲奏界Polyphonica 神曲奏界ポリフォニカ,https://movie.douban.com/subject/4070113/
