title,douban_link
寒蝉鸣泣之时 ひぐらしのなく頃に,https://movie.douban.com/subject/1946839/
网球王子 テニスの王子様,https://movie.douban.com/subject/1477963/
玲音 Serial Experiments: Lain,https://movie.douban.com/subject/1417233/
赌博默示录 逆境無頼カイジ Ultimate Survivor,https://movie.douban.com/subject/3035147/
致不灭的你 不滅のあなたへ,https://movie.douban.com/subject/34941837/
某科学的超电磁炮 とある科学の超電磁砲,https://movie.douban.com/subject/4067827/
时光代理人 第二季,https://movie.douban.com/subject/35524539/
彩云国物语 彩雲国物語,https://movie.douban.com/subject/2208917/
机械心 Jack et la mécanique du coeur,https://movie.douban.com/subject/3001149/
史前战纪 第一季 Primal Season 1,https://movie.douban.com/subject/33447682/
机动战士高达 复仇的镇魂曲 Gundam: Requiem for Vengeance,https://movie.douban.com/subject/36466145/
古墓丽影：劳拉·克劳馥传奇 第一季 Tomb Raider: The Legend of Lara Croft Season 1,https://movie.douban.com/subject/35344111/
幽游白书 幽☆遊☆白書,https://movie.douban.com/subject/1465792/
变形金刚 第一季 Transformers Season 1,https://movie.douban.com/subject/1440937/
鬼灭之刃 那田蜘蛛山篇 鬼滅の刃 那田蜘蛛山編,https://movie.douban.com/subject/35231832/
大力水手 第一季 Popeye the Sailor Season 1,https://movie.douban.com/subject/1781636/
神探加杰特 第一季 Inspector Gadget Season 1,https://movie.douban.com/subject/1781597/
银魂：最终篇 银魂 THE FINAL,https://movie.douban.com/subject/34984521/
夏目友人帐 第四季 夏目友人帳 肆,https://movie.douban.com/subject/6855097/
乱马1/2 らんま1/2,https://movie.douban.com/subject/1974733/
日在校园 School Days,https://movie.douban.com/subject/2149193/
昭和元禄落语心中 昭和元禄落語心中,https://movie.douban.com/subject/26277363/
辉夜大小姐想让我告白：初吻不会结束 かぐや様は告らせたい-ファーストキッスは終わらない-,https://movie.douban.com/subject/35952098/
巴巴爸爸 第一季 Les Barbapapa Season 1,https://movie.douban.com/subject/1449381/
化物语 化物語,https://movie.douban.com/subject/3893384/
银河英雄传说 銀河英雄伝説,https://movie.douban.com/subject/1684322/
全职高手 第三季,https://movie.douban.com/subject/36053655/
狐妖小红娘剧场版：月红篇,https://movie.douban.com/subject/26972694/
石纪元 Dr.STONE,https://movie.douban.com/subject/30377498/
杀手寓言 ザ・ファブル,https://movie.douban.com/subject/36467237/
奇蛋物语 ワンダーエッグ・プライオリティ,https://movie.douban.com/subject/35216228/
BABY BLUE,https://movie.douban.com/subject/3284257/
妖精的尾巴：百年任务 FAIRY TAIL 100年クエスト,https://movie.douban.com/subject/35604005/
黑子的篮球 第二季 黒子のバスケ 第2期,https://movie.douban.com/subject/20472708/
鬼灭之刃 兄妹的羁绊 鬼滅の刃 兄妹の絆,https://movie.douban.com/subject/33393167/
闵勇 민용,https://movie.douban.com/subject/36514279/
我的青春恋爱物语果然有问题 やはり俺の青春ラブコメはまちがっている。,https://movie.douban.com/subject/23750688/
碧蓝之海 ぐらんぶる,https://movie.douban.com/subject/27666506/
蜂蜜与四叶草 ハチミツとクローバー,https://movie.douban.com/subject/1770547/
银魂剧场版：完结篇 直到永远的万事屋 劇場版 銀魂 完結篇 万事屋よ永遠なれ,https://movie.douban.com/subject/11615927/
名侦探柯南：绯色的不在场证明 名探偵コナン 緋色の不在証明,https://movie.douban.com/subject/35335784/
欢迎来到实力至上主义教室 ようこそ実力至上主義の教室へ,https://movie.douban.com/subject/27034595/
狂赌之渊 賭ケグルイ,https://movie.douban.com/subject/26977244/
辉夜大小姐想让我告白：究极浪漫 かぐや様は告らせたい-ウルトラロマンティック-,https://movie.douban.com/subject/35234382/
四月一日灵异事件簿 xxxHOLiC,https://movie.douban.com/subject/1760828/
王者荣耀：荣耀之章碎月篇,https://movie.douban.com/subject/35170004/
团子大家族 第二季 CLANNAD ～AFTER STORY～,https://movie.douban.com/subject/3230813/
虫师 续章 蟲師 続章,https://movie.douban.com/subject/25806507/
异世界自杀小队 Suicide Squad ISEKAI,https://movie.douban.com/subject/36465332/
夏目友人帐 第五季 夏目友人帳 伍,https://movie.douban.com/subject/26754896/
会长是女仆 会長はメイド様！,https://movie.douban.com/subject/4191745/
阿修罗 アシュラ,https://movie.douban.com/subject/10746430/
银魂 第二季 銀魂',https://movie.douban.com/subject/4888015/
卡罗尔与星期二 キャロル＆チューズデイ,https://movie.douban.com/subject/30163813/
枕刀歌之尘世行,https://movie.douban.com/subject/35437945/
86 -不存在的战区- Part.2 86―エイティシックス― 第2クール,https://movie.douban.com/subject/35510433/
命运之夜 Fate/stay night,https://movie.douban.com/subject/1727200/
命运之夜前传 第二季 Fate/Zero 2ndシーズン,https://movie.douban.com/subject/6874729/
豆福传,https://movie.douban.com/subject/26705107/
白熊咖啡馆 しろくまカフェ,https://movie.douban.com/subject/10527294/
哆啦A梦：大雄的南极冰冰凉大冒险 ドラえもん のび太の南極カチコチ大冒険,https://movie.douban.com/subject/26839466/
向涟苍士献上纯洁 漣蒼士に純潔を捧ぐ,https://movie.douban.com/subject/36481513/
刀剑神域进击篇：无星之夜 劇場版 ソードアート・オンライン プログレッシブ 星なき夜のアリア,https://movie.douban.com/subject/30359166/
斗破苍穹 特别篇3,https://movie.douban.com/subject/35558676/
呼吸过度 과호흡,https://movie.douban.com/subject/26969711/
秦时明月之诸子百家,https://movie.douban.com/subject/4246437/
我的三体 第四季,https://movie.douban.com/subject/36140964/
境界的彼方 境界の彼方,https://movie.douban.com/subject/11226094/
龙珠GT ドラゴンボールGT,https://movie.douban.com/subject/3200195/
宇宙骑士 宇宙の騎士テッカマンブレード,https://movie.douban.com/subject/1779379/
地狱客栈：试播集 Hazbin Hotel: Pilot,https://movie.douban.com/subject/30328917/
新世纪福音战士 2003重制版 新世紀エヴァンゲリオン,https://movie.douban.com/subject/10604246/
JOJO的奇妙冒险 石之海 Part.2 ジョジョの奇妙な冒険 ストーンオーシャン 第2クール,https://movie.douban.com/subject/35819151/
鹿乃子乃子乃子虎视眈眈 しかのこのこのここしたんたん,https://movie.douban.com/subject/36788554/
