title,douban_link
名侦探柯南OVA4：柯南、基德和水晶之母 名探偵コナン コナンとキッドとクリスタル・マザー,https://movie.douban.com/subject/3993578/
哥布林杀手 第二季 ゴブリンスレイヤー 2期,https://movie.douban.com/subject/34948227/
火星娃勇闯魔晶岛,https://movie.douban.com/subject/26324210/
小飞龙 海のトリトン,https://movie.douban.com/subject/1808049/
数码宝贝5：拯救者 デジモンセイバーズ,https://movie.douban.com/subject/3053433/
雨月 あまつき,https://movie.douban.com/subject/3013583/
橱柜童子 たんすわらし。,https://movie.douban.com/subject/5392075/
喜欢的人忘记戴眼镜了 好きな子がめがねを忘れた,https://movie.douban.com/subject/36193795/
伏：铁炮娘的捕物帐 伏 鉄砲娘の捕物帳,https://movie.douban.com/subject/5377120/
骷髅13 ゴルゴ13,https://movie.douban.com/subject/2382774/
水果篮子 prelude フルーツバスケット -prelude-,https://movie.douban.com/subject/35649759/
龙珠Z剧场版9：银河面临危机!! 身手不凡的高手!! ドラゴンボール Z 劇場版：銀河ギリギリ!! ぶっちぎりの凄い奴,https://movie.douban.com/subject/3442793/
风灵玉秀 第二季,https://movie.douban.com/subject/35679784/
神是中学生 かみちゅ,https://movie.douban.com/subject/1997643/
公爵的契约未婚妻 彼女が公爵邸に行った理由,https://movie.douban.com/subject/35969847/
明治东京恋伽 明治東亰恋伽,https://movie.douban.com/subject/26969668/
影之宅 シャドーハウス,https://movie.douban.com/subject/35225512/
回转企鹅罐 剧场版 前篇 你的列车是生存战略 RE:cycle of the PENGUINDRUM [前編] 君の列車は生存戦略,https://movie.douban.com/subject/35419479/
终物语(下) 終物語(下),https://movie.douban.com/subject/26761233/
机动战士高达ZZ 機動戦士ガンダムΖΖ,https://movie.douban.com/subject/1766585/
轻音少女番外篇：企划会议 けいおん!! 番外編 企画会議！,https://movie.douban.com/subject/5294307/
金田一少年事件簿R 金田一少年の事件簿R,https://movie.douban.com/subject/25831329/
龙珠Z剧场版8：燃烧吧!!热战·烈战·超激战 ドラゴンボール Z 劇場版： 燃えつきろ !!熱戦・烈戦・超激戦,https://movie.douban.com/subject/3089298/
男子游泳部剧场版：起始之日 映画 ハイ☆スピード! -Free! Starting Days-,https://movie.douban.com/subject/26350389/
地狱少女 三鼎 地獄少女 三鼎,https://movie.douban.com/subject/3618714/
废弃公主 スクラップド・プリンセス,https://movie.douban.com/subject/1770033/
天堂镇警局 第一季 Paradise PD Season 1,https://movie.douban.com/subject/30190598/
龙珠Z特别篇：绝望的反抗!! 仅存的超战士悟饭和特兰克斯 ドラゴンボールZ 絶望への反抗!!残された超戦士・悟飯とトランクス,https://movie.douban.com/subject/1982034/
全职法师 第六季,https://movie.douban.com/subject/35638258/
龙珠Z特别篇：绝望的反抗!! 仅存的超战士悟饭和特兰克斯 ドラゴンボールZ 絶望への反抗!!残された超戦士・悟飯とトランクス,https://movie.douban.com/subject/1982034/
全职法师 第六季,https://movie.douban.com/subject/35638258/
牙狼 -死亡线- 牙狼＜GARO＞ -VANISHING LINE-,https://movie.douban.com/subject/27112708/
弃宝之岛：遥与魔法镜 ホッタラケの島 ～遥と魔法の鏡～,https://movie.douban.com/subject/3765257/
神的记事本 神様のメモ帳,https://movie.douban.com/subject/5967233/
机动战士高达 铁血的奥尔芬斯 第二季 機動戦士ガンダム 鉄血のオルフェンズ 弐,https://movie.douban.com/subject/26759822/
历师,https://movie.douban.com/subject/30234290/
凹凸世界 第一季,https://movie.douban.com/subject/26660938/
名侦探柯南OVA6：追踪失踪的钻石，柯南、平次VS基德 名探偵コナン 消えたダイヤを追え! コナン・平次vsキッド!,https://movie.douban.com/subject/3993580/
三个火枪手 アニメ三銃士,https://movie.douban.com/subject/2051056/
炎炎消防队 二之章 炎炎ノ消防隊 弐ノ章,https://movie.douban.com/subject/34937925/
再见了，橡果兄弟！ グッバイ、ドン・グリーズ！,https://movie.douban.com/subject/35516695/
死后文 シゴフミ,https://movie.douban.com/subject/2377626/
精灵宝可梦XY&Z ポケットモンスター XY&Z,https://movie.douban.com/subject/30328915/
极品男孩 THE INCREDIBLE GYOKAI VIDEO JUNK BOY,https://movie.douban.com/subject/5908495/
第二次被异世界召唤 異世界召喚は二度目です,https://movie.douban.com/subject/35639789/
彩云国物语 第2季 彩雲国物語　第2シリーズ,https://movie.douban.com/subject/3134883/
野良神 OAD1 ノラガミ 神憑り、神祟り,https://movie.douban.com/subject/25821622/
端脑,https://movie.douban.com/subject/25981052/
人力资源 第一季 Human Resources Season 1,https://movie.douban.com/subject/34851640/
江户前精灵 江戸前エルフ,https://movie.douban.com/subject/35937585/
RDG濒危物种少女 RDG レッドデータガール,https://movie.douban.com/subject/11523303/
悠哉日常大王剧场版：假期活动 劇場版 のんのんびより ばけーしょん,https://movie.douban.com/subject/27063403/
旅行的机器人 旅のロボから,https://movie.douban.com/subject/26633278/
龙与魔女 #0.8 BURN THE WITCH #0.8,https://movie.douban.com/subject/36156513/
恐龙宝贝之龙神勇士,https://movie.douban.com/subject/4840356/
小贝流浪记,https://movie.douban.com/subject/3642274/
猪猪侠大电影·恐龙日记,https://movie.douban.com/subject/35026731/
蓝猫淘气3000问之恐龙时代,https://movie.douban.com/subject/26829827/
勇者斗恶龙：达伊的大冒险 ドラゴンクエスト ダイの大冒険,https://movie.douban.com/subject/34936379/
随风而逝的记忆 風の名はアムネジア,https://movie.douban.com/subject/1839478/
GAMERS电玩咖！ ゲーマーズ！,https://movie.douban.com/subject/26898893/
巴哈姆特之怒 VIRGIN SOUL 神撃のバハムート VIRGIN SOUL,https://movie.douban.com/subject/26759617/
龙珠Z剧场版6：激突！100亿能量的战士们 ドラゴンボールZ 激突!!100億パワーの戦士たち,https://movie.douban.com/subject/3552817/
不知内情的转学生不管三七二十一缠了上来 事情を知らない転校生がグイグイくる,https://movie.douban.com/subject/36156294/
水漫金山,https://movie.douban.com/subject/10561951/
淘气包马小跳,https://movie.douban.com/subject/26745079/
黑岩射手 ブラック★ロックシューター,https://movie.douban.com/subject/6796121/
守护甜心!!心跳 しゅごキャラ!!どきっ,https://movie.douban.com/subject/3290504/
机动战士高达 剧场版Ⅰ 機動戦士ガンダム,https://movie.douban.com/subject/1766999/
赘婿,https://movie.douban.com/subject/35679819/
川之光 川の光,https://movie.douban.com/subject/3813936/
王牌投手 振臂高挥 夏季大会篇 おおきく振りかぶって 〜夏の大会編〜,https://movie.douban.com/subject/4217246/
魔王勇者 まおゆう魔王勇者,https://movie.douban.com/subject/10864705/
银魂 第四季 银之魂篇 Part.2 銀魂.銀ノ魂篇2,https://movie.douban.com/subject/30176789/
魔王勇者 まおゆう魔王勇者,https://movie.douban.com/subject/10864705/
银魂 第四季 银之魂篇 Part.2 銀魂.銀ノ魂篇2,https://movie.douban.com/subject/30176789/
天才麻将少女 咲-Saki-,https://movie.douban.com/subject/3681454/
横滨购物纪行1 ヨコハマ買い出し紀行 vol.1,https://movie.douban.com/subject/2347138/
青之驱魔师：京都不净王篇 青の祓魔師 京都不浄王篇,https://movie.douban.com/subject/26828027/
黑色嘉年华 カーニヴァル,https://movie.douban.com/subject/10617150/
高米迪 Gormiti: The Lords of Nature Return!,https://movie.douban.com/subject/5175513/
少女前线 ドールズフロントライン,https://movie.douban.com/subject/35337734/
川柳少女,https://movie.douban.com/subject/30396322/
