id,title,douban_link,rating,year,image,video_url,summary,country,language,episode_duration,episode_count,director,scriptwriter,cast,official_website,also_known_as,genre
25,娜娜 NANA -ナナ-,https://movie.douban.com/subject/1794082/,9.2,2006,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2326427793.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fv0033r7cz6r.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep25690%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",大崎娜娜（朴璐美 配音），心怀音乐梦的朋克女青年，曾在家乡和男友本城莲（木内秀信 配音）、好友高木泰（川原庆久 配音）、寺岛伸夫（关智一 配音）合组乐队Black Stones，后因莲被当红乐队Trapnest挖角到东京发展，二人被迫分手。时隔两年，娜娜也决定前往东京，  找来泰和伸夫重整Black Stones旗鼓，誓要和莲的Trapnest一拼高下。小松奈奈（KAORI 配音），永远沉浸在恋爱梦中的不靠谱小镇姑娘，因男友远藤章司（高桥广树 配音）到东京求学备受异地恋煎熬，而今终于有机会移居东京陪伴章司。两个名字发音同为“nana”的女孩相遇在去往东京的新干线上，又十分凑巧地看重同一间“707”号公寓，二人决定合租。两个性格迥然不同的女孩，加上两个竞争乐队的男孩们，从此生活、梦想、爱情、挫折就这样交织在一起，再也不可分……,日本,日语,23分钟,50.0,"['浅香守生', '中村亮介', '石塚敦子', '谷田部胜义', '钉宫洋', '高桥亨', '岛崎奈奈子', '鹤冈耕次郎', '广川和之', '若林汉二', '千叶大辅', '池田重隆', '渡边正彦']","['矢泽爱', '金春智子', '笔安一幸', '浦畑达彦']","['朴璐美', '川菜翠', '木内秀信', '川原庆久', '关智一', '石田彰', '平野绫', '森川智之', '诹访部顺一', '本田贵子', '高桥广树', '小岛惠', '金井美香', '胜杏里', '周防玲子', '千叶纱子', '立木文彦', '滨田贤二', '藤井启辅']",,世上的另一个我 / NANA,"['剧情', '爱情', '动画', '音乐']"
26,我们仍未知道那天所看见的花的名字 あの日見た花の名前を僕達はまだ知らない。,https://movie.douban.com/subject/5397537/,8.8,2011,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p886397891.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep15014%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],宿海仁太（入野自由 配音）、本间芽衣子（茅野爱衣 配音）、安城鸣子（户松遥 配音）  久川铁道（近藤孝行 配音）、松雪集（樱井孝宏 配音）、鹤见知利子（早见沙织 配音）6个人曾是童年最要好的玩伴，他们彼此亲密无间，以各自的绰号相称。6个小家伙甚至建立了一个秘密基地，并给他们这个小团体命名为“超平和Busters”。然而，一场意外让孩子们的心中互生芥蒂，随着年龄的增长，他们渐行渐远，走上不同的人生旅途，彼此失掉了联系。某天，“面码”芽衣子突然出现在仁太的面前，仁太惊讶的发现芽衣子的容貌和性格几乎从未被时光所改变。在芽衣子的号召下，失落的好友们重新走到了一起……本片为A-1 Pictures的原创动画，共11话。,日本,日语,24分钟,11.0,"['长井龙雪', '今泉贤一', '筱原俊哉', '伊藤智彦', '吉村爱', '原田孝宏']",['冈田麿里'],"['入野自由', '茅野爱衣', '户松遥', '樱井孝宏', '早见沙织', '近藤孝行', '小形満', '田村睦心', '濑户麻沙美', '丰崎爱生', '水原薰', '牧野由依']",,彼花未知名 / 未知彼时花开名 / 那朵花 / 那日所见花儿之名我们仍未知晓 / 未闻花名 / あのはな / Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai. / Anohana: The Flower We Saw That Day,"['剧情', '动画']"
27,只有我不在的街道 僕だけがいない街,https://movie.douban.com/subject/26427106/,8.9,2016,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2326879831.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Ff79uwp0ne7sxujw%2Fm003422rggq.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep323056%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",藤沼悟（满岛真之介 配音）拥有着能够回到过去的特异功能，母亲佐知子（高山南 配音）被害，曾经信赖的朋友白鸟润（水岛大宙 配音）即将作为儿童连续杀人案的真凶被处以死刑，在这个节骨眼上，悟忽然回到了1988年，回到了当时就读的小学。彼时，在杀人案件中死去的同班同学雏月加代（悠木碧 配音）和山田广美（鬼头明里 配音）尚未被害，悟决心利用自己的能力保护加代和广美的安全，洗清白鸟润身上的冤屈，并且找到真正的幕后黑手。在悟的努力下，个性阴沉孤僻的加代终于向他敞开了心胸，两人结下了深厚的友谊。很快，案件发生的那一天来临了，茫茫的黑夜过去，当光明来临时，悟能否再度看见加代天真的笑脸呢？,日本,日语,23分钟,12.0,"['伊藤智彦', '石井俊匡', '绵田慎也', '鹿间贵裕', '森大贵', '星野真']","['岸本卓', '安永丰']","['土屋太凤', '满岛真之介', '悠木碧', '赤崎千夏', '大地叶', '水岛大宙', '高山南', '宫本充']",,只有我不存在的城市 / The Town Where Only I Am Missing / Boku dake ga Inai Machi / Erased,"['动画', '悬疑']"
28,我想吃掉你的胰脏 君の膵臓をたべたい,https://movie.douban.com/subject/27107140/,6.9,2018,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2545571306.jpg,['https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNDA4ODQ5OTcxNg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video'],“没有名字的我，没有未来的她”对他人毫无兴趣，总是独自一人读书的高中生“我”。这样的“我”有一天，偶然捡到一册写着《共病文库》的文库本。那是，天真烂漫的班上人气王·山内樱良私下记录的日记本。里面记载着她身患胰脏的疾病，已经时日无多……。隐藏自己的疾病度过日常的樱良，与知晓其秘密的“我”。——两人的距离，还没有名字。,日本,日语,,,['牛岛新一郎'],['牛岛新一郎'],"['高杉真宙', 'Lynn', '藤井雪代', '内田雄马', '福岛润', '田中敦子', '三木真一郎']",,我想吃掉你的胰脏   动画版 / I Want to Eat Your Pancreas / Let Me Eat Your Pancreas,"['爱情', '动画']"
29,奇巧计程车 オッドタクシー,https://movie.douban.com/subject/35332568/,9.4,2021,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2631090442.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep431777%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],以沉默的出租车司机「小户川」为主角，故事围绕在他与各种性格古怪的乘客之间，最终将联系到一名高中少女失踪的真相。,日本,日语,23分钟,13.0,"['木下麦', '新田典生', '西田健一', '大庭秀昭']",['此元和津也'],"['花江夏树', '饭田里穗', '木村良平', '山口胜平', '三森铃子', '小泉萌香', '鬼头明里', '村上真夏', '昴生', '亚生', 'Yusuke', '津田笃弘', 'Takashi', '村上知子', '高井佳佑', 'Fenix', '滨田贤二', '酒井广大', '齐藤壮马', '古川慎', '堀井茶渡', '大塚芳忠', '黑田崇矢', '汐宫天音', '神乐千歌', 'METEOR', '高杉真宙']",,ODD TAXI,"['剧情', '动画', '悬疑']"
30,赛博朋克：边缘行者 Cyberpunk: Edgerunners,https://movie.douban.com/subject/35118256/,9.0,2022,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2877118797.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep431777%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],该剧集是一部独立的 10 集剧集，故事讲述了一名街头流浪儿在一个科技和形体改造泛滥的夜之城中挣扎求生，一无所有的他成为一名“边缘行者“（亦被称为“赛博浪客”的法外佣兵）来维持生计。,波兰 / 日本 / 美国,英语 / 日语,24分钟,10.0,['今石洋之'],"['大冢雅彦', '宇佐義大', 'Bartosz Sztybor', 'Jan Bartkowicz', 'Łukasz Ludkowski']","['大桥贤一郎', '悠木碧', '黑泽朋世', '东地宏树', '本田贵子', '鸡冠井美智子', '高木涉', '加濑康之', '井上和彦', '津田健次郎', '日野由利加', '御园行洋']",,赛博浪客 / 赛博朋克：边缘跑手 / 电驭叛客：边缘行者 / サイバーパンク エッジランナーズ,"['动作', '科幻', '动画', '惊悚', '犯罪', '冒险']"
31,斩·赤红之瞳 アカメが斬る!,https://movie.douban.com/subject/25815602/,8.1,2014,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2260245867.jpg,['https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep431777%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video'],历经了千年的繁华，巍峨帝都早已从内部腐烂，拥有邪魔灵魂的统治者，正引领文明走向毁灭。为了解除村庄的困境，拥有绝赞剑术的少年塔兹米（齐藤壮马 配音）独闯帝都。此时帝都至高无上的皇帝还只是不谙世事的孩子，国家的实际操纵者大臣只手遮天，是帝都腐朽的根源。历经一波三折，塔兹米被曾经骗过自己的雷欧奈（浅川悠 配音）强行拉入一个神秘组织Night Raid。Night Raid是一支令帝都所有权贵富贾闻风丧胆的暗杀集团，他们是革命军下辖的秘密特殊部队，其最终目标是颠覆大臣的统治。在娜杰塔（水野理纱 配音）的领导下，赤瞳（雨宫天 配音）、雷欧奈等绝世高手云集其下。塔兹米的命运由此发生转折，而接二连三更大的纷争则将其引向未知的彼方……本片根据タカヒロ（原作）、田代哲也（原画）的漫画改编。,日本,日语,23分钟,24.0,"['小林智树', '冈本学', '小泽一浩', '柴田彰久', '平向智子', '古贺一臣', '土屋浩幸', '松村政辉', '川越崇弘', '园田雅裕', '三上喜子', '江口大辅', '佐佐木纯人', '碇谷敦']","['上江洲诚', '待田堂子', '中村浩二郎']","['齐藤壮马', '雨宫天', '田村由香里', '浅川悠', '能登麻美子', '松冈祯丞', '小西克幸', '水野理纱', '名冢佳织', '浅沼晋太郎', '明坂聪美', '细谷佳正', '大桥彩香', '竹本英史', '花泽香菜', '成田剑', '间岛淳司', '大地叶', '石井康嗣', '乡田穗积', '小山刚志', '鹤冈聪', '中田让治', '生天目仁美', '胜杏里', '日野聪', '松井惠理子', '乃村健次', '铃木爱奈', '木村良平', '高坂笃志', '岩崎征实', '佐藤奏美', '小松未可子', '高桥孝治', '山岸治雄', '中村夏绪', '菅泽公平', '藤沼建人', '桑原敬一', '赤泽凉太', '后藤哲夫']",,斩！赤红之瞳 / Akame ga Kiru! / Akame Ga Kill! / Red Eye Killer,"['动画', '犯罪']"
32,你想活出怎样的人生 君たちはどう生きるか,https://movie.douban.com/subject/26925611/,7.6,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2906527755.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200fg529zl.html%3Fptag%3Dnewdouban.movie&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F634567%2F22033619.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fss68613%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",少年牧真人（山时聪真 配音）的母亲葬身火海后，他随父亲牧胜一（木村拓哉 配音）与继母夏子（木村佳乃 配音）组成新家庭。深陷悲伤的真人阴郁孤僻，难以融入新环境。一次意外，他跟随一只会说话的苍鹭（菅田将晖 配音）闯入废弃的神秘塔楼，却不料进入了奇幻的“亡灵世界”，开始了一场不可思议的冒险……影片片名致敬了小说家吉野源三郎在1937年发表的同名小说，但电影故事由宫崎骏原创。,日本,日语,,,['宫崎骏'],['宫崎骏'],"['山时聪真', '菅田将晖', '柴崎幸', '爱缪', '木村佳乃', '木村拓哉', '竹下景子', '风吹淳', '大竹忍', '阿川佐和子', '国村隼', '小林薰', '泷泽凯伦', '火野正平']",,苍鹭与少年(港/台) / 男孩与苍鹭 / 你们是怎样活下去的 / The Boy and the Heron / 君たちはどう生きろか,"['动画', '奇幻', '冒险']"
33,攻壳机动队 攻殻機動隊,https://movie.douban.com/subject/1291936/,9.1,1995,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2446408045.jpg,"['https://www.douban.com/link2/?url=http%3A%2F%2Fv.qq.com%2Fx%2Fpage%2Fe0034xi84rv.html%3Fptag%3Ddouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep81216%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video']",公元2029年，未来世界是高科技与信息化的世界。人类生活水平的提高伴随着犯罪活动的高科技化，于是，专门镇压高科技犯罪的特殊部队——公安9课成立了。队长草薙素子，作为一位全身“义体化”的女警，带领公安9课不断展开行动。是次，公安9课帮助公安6课秘密解决了一位程序员外逃他国的麻烦琐事，又卷入传说中的黑客“傀儡师”的犯罪事件。当行动陷入僵局之际，傀儡师竟然不请自来，出现在公安9课！素子与她的战友们，不知不觉地被卷入了一场涉及政府的阴谋之中。,日本,日语,,,['押井守'],"['伊藤和典', '士郎正宗']","['田中敦子', '大塚明夫', '山寺宏一', '大木民夫', '家弓家正', '玄田哲章', '山内雅人', '小川真司']",,Ghost in the Shell,"['动作', '科幻', '动画']"
34,咒术回战 第二季 呪術廻戦 2,https://movie.douban.com/subject/35765350/,8.5,2023,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2897269944.jpg,"['https://www.douban.com/link2/?url=https%3A%2F%2Fv.qq.com%2Fx%2Fcover%2Fmzc00200agxtrid%2Fz00460c2bi3.html%3Fptag%3Dnewdouban.cartoon&amp;subtype=1&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fwww.mgtv.com%2Fb%2F658196%2F21285372.html%3Fcxid%3Dvb4rv4jhk&amp;subtype=7&amp;type=online-video', 'https://www.douban.com/link2/?url=https%3A%2F%2Fm.bilibili.com%2Fbangumi%2Fplay%2Fep767950%3Fbsource%3Ddoubanh5&amp;subtype=8&amp;type=online-video', 'https://www.douban.com/link2/?url=http%3A%2F%2Fv.youku.com%2Fv_show%2Fid_XNjAwMzkyOTA1Mg%3D%3D.html%3Ftpa%3DdW5pb25faWQ9MzAwMDA4XzEwMDAwMl8wMl8wMQ%26refer%3Desfhz_operation.xuka.xj_00003036_000000_FNZfau_19010900&amp;subtype=3&amp;type=online-video']",最强2人，回不去的青春。2017年12月，乙骨忧太解除了祈本里香的诅咒。追溯到2006年（春天），高专时代的五条悟与夏油杰。作为咒术师活跃着，所向披靡的2人，接受来自咒术界拥有不死术式的要·天元的委托。委托有两个，天元的的适合者——被选中成为“星浆体”的天内理子，对那个少女的“护卫”和“抹去”两人为了维持咒术界而进行护卫任务，在那里自称伏黑的“术师杀手”以暗杀“星浆体”为目标介入。在之后被称为最强的咒术师和最恶的咒术师，五条与夏油，两人的过去被揭开…,日本,日语,24分钟,23.0,['御所园翔太'],['濑古浩司'],"['中村悠一', '樱井孝宏', '远藤绫', '永濑安奈', '子安武人', '清水理沙', '安元洋贵', '榎木淳弥', '内田雄马', '濑户麻沙美', '岛崎信长', '诹访部顺一', '木村昴', '三石琴乃', '麦人', '爱美', '松冈祯丞', '赤崎千夏', '日笠阳子']",,呪術廻戦 第2期 / 呪術廻戦 懐玉・玉折 / Jujutsu Kaisen Season 2,"['剧情', '动画', '奇幻']"
